feature,rank,osm_h3_cell_id,osm_h3_cell_id_hex,lat,lon,state_fips,tract_geoid,value,p99,p999,value_over_p99,neighbor_cells_present,neighbor_median,value_over_neighbor_median
osm_poi_density_per_km2,1,617673363808583679,8926aa6dd07ffff,39.81807867384705,-104.68678398336449,08,08001008354,35515.647834817304,63.946529229821735,356.8103507551357,555.3960201213615,6,2360.652068464509,15.044846425809176
osm_poi_density_per_km2,2,617733347350151167,892a134deb7ffff,39.891542876228634,-75.1469799583063,42,42101989200,34964.83634988693,63.946529229821735,356.8103507551357,546.7823941503448,6,19094.505737082014,1.8311464476393506
osm_poi_density_per_km2,3,617733347312664575,892a134dc7bffff,39.89170047263001,-75.1427813812875,42,42101989200,33296.19432271139,63.946529229821735,356.8103507551357,520.6880611619429,6,1759.6615078529578,18.921931390848897
osm_poi_density_per_km2,4,617733347348840447,892a134dea3ffff,39.89138512842301,-75.15117851628891,42,42101989200,30150.69529188824,63.946529229821735,356.8103507551357,471.49854190721794,6,21544.323867335974,1.399472802096178
osm_poi_density_per_km2,5,617733347341500415,892a134de33ffff,39.88853651145476,-75.15730989358754,42,42101989200,28243.750611745185,63.946529229821735,356.8103507551357,441.6776164698176,4,18436.610939145372,1.5319383104069788
osm_poi_density_per_km2,6,617733347349626879,892a134deafffff,39.88869447772858,-75.15311159577557,42,42101989200,24522.67441412013,63.946529229821735,356.8103507551357,383.48718389369407,4,25371.425437013673,0.9665469713161909
osm_poi_density_per_km2,7,617675425344913407,8926c86da2bffff,32.754115164779776,-97.07848169663083,48,48439121702,23842.441788302425,63.946529229821735,356.8103507551357,372.84966166988465,6,937.6008568164027,25.429202218584532
osm_poi_density_per_km2,8,617733347349102591,892a134dea7ffff,39.888852292621074,-75.14891327886383,42,42101989200,22499.10026228216,63.946529229821735,356.8103507551357,351.84239916166723,4,27336.684853004186,0.8230368965097684
osm_poi_density_per_km2,9,618202730075258879,8944c1b8d4fffff,33.63451923011595,-84.45463854954579,13,13063980000,21143.288709689048,63.946529229821735,356.8103507551357,330.6401295635727,6,2576.6942991652904,8.205586792557554
osm_poi_density_per_km2,10,617733347349364735,892a134deabffff,39.89122722921563,-75.15537705519039,42,42101989200,20589.547472389786,63.946529229821735,356.8103507551357,321.9806879336895,6,20403.174410010546,1.0091345130240026
osm_poi_density_per_km2,11,617666226865569791,89264292a13ffff,38.5099650522133,-90.67642437835558,29,29189221502,20435.835914706626,63.946529229821735,356.8103507551357,319.57693655680515,6,253.41687889745114,80.64117908648178
osm_poi_density_per_km2,12,617713329373708287,8928f001257ffff,45.57648462789564,-122.55645857000081,41,41051007300,20024.119621730755,63.946529229821735,356.8103507551357,313.1384902809146,6,247.96799421101335,80.75283943576537
osm_poi_density_per_km2,13,617733146136805375,892a1060577ffff,40.58381552989657,-74.1647950017242,36,36085027702,19227.00635963383,63.946529229821735,356.8103507551357,300.67318103430756,6,5323.033962271501,3.61203901682962
osm_poi_density_per_km2,14,617685374446338047,89275934ed3ffff,41.979887819665954,-87.90364733747862,17,17031980000,18926.511195256433,63.946529229821735,356.8103507551357,295.97401803052,6,1011.2794470120268,18.715411700670455
osm_poi_density_per_km2,15,617733146465009663,892a1061907ffff,40.52914830755868,-74.23063161727646,36,36085022602,16581.520160948305,63.946529229821735,356.8103507551357,259.3028951009188,6,3019.500975833815,5.491477000224989
osm_poi_density_per_km2,16,617685386465378303,89275961b37ffff,41.948922906292935,-88.72551474235023,17,17037000800,16486.606050697246,63.946529229821735,356.8103507551357,257.81862204663094,6,1090.6675815357223,15.116068662720462
osm_poi_density_per_km2,17,617733347338616831,892a134de07ffff,39.89106917860904,-75.15957557496583,42,42101989200,16283.67440590096,63.946529229821735,356.8103507551357,254.64516373324918,6,1241.9574590698087,13.111298045664926
osm_poi_density_per_km2,18,617726988442140671,8929b6c5243ffff,33.77373157609648,-112.15628645355005,04,04013611300,16238.917693604262,63.946529229821735,356.8103507551357,253.94525534360315,6,2518.591751770198,6.447618071563485
osm_poi_density_per_km2,19,617733347311615999,892a134dc6bffff,39.88900995612978,-75.14471494289742,42,42101989200,15689.911211881867,63.946529229821735,356.8103507551357,245.359856130625,4,27897.647292496775,0.5624098350437513
osm_poi_density_per_km2,20,618203525059706879,8944cd4a613ffff,35.15425606301187,-85.24623230095703,47,47065010431,14856.918642797711,63.946529229821735,356.8103507551357,232.3334639383231,6,893.5855416300824,16.626185127946073
osm_poi_density_per_km2,21,617671961691815935,8926960685bffff,40.64808076504142,-111.94057789912372,49,49035113513,14799.166042874014,63.946529229821735,356.8103507551357,231.4303250092948,6,191.79179764955353,77.1626640150451
osm_poi_density_per_km2,22,617671961789071359,89269606e27ffff,40.65125501123886,-111.94044344535332,49,49035113513,14523.322217434366,63.946529229821735,356.8103507551357,227.11666125362365,6,544.1912689965479,26.687900091110237
osm_poi_density_per_km2,23,617677328714825727,8926e4203dbffff,39.202836400136256,-96.5976280115483,20,20161001101,14194.118743848634,63.946529229821735,356.8103507551357,221.96855583569572,6,2361.0304734876845,6.011832080625906
osm_poi_density_per_km2,24,617677328714563583,8926e4203d7ffff,39.201797082569236,-96.59048983729527,20,20161001101,13939.93713635275,63.946529229821735,356.8103507551357,217.99364725883825,6,3621.437447663189,3.849282871183595
osm_poi_density_per_km2,25,617668524236865535,89266401013ffff,41.567624354400664,-87.40651322222811,18,18089041100,13300.471442720762,63.946529229821735,356.8103507551357,207.99364098275456,6,1768.9946756198296,7.518661093799207
osm_road_length_density_m_per_km2,1,617733151025266687,892a10728d7ffff,40.71214522835471,-74.01418760879541,36,36061031703,257780.5363098364,33240.511739722875,58012.53916842319,7.755011063857512,6,76845.64195260068,3.3545238189153075
