feature,boundary_median_logdiff,interior_median_logdiff,boundary_over_interior,boundary_p95_logdiff,interior_p95_logdiff
osm_road_length_density_m_per_km2,0.548462923714939,0.5680478733398893,0.9655223608006861,7.965281264504731,7.8218194620020025
osm_poi_density_per_km2,0.0,0.0,,2.407268524172115,2.314579547636616
osm_building_density_per_km2,0.0,0.0,,3.3892235818598864,2.9666122782673874
osm_intersection_density_per_km2,0.38894710831396906,0.31463067120457033,1.2362021376519863,3.5906932607351654,3.387995829140362
osm_major_road_density_m_per_km2,0.0,0.0,,8.144201706478743,8.06718778835109
