nibrs_code,offence_code,crimename1,crimename2,crimename3,row_count
," -76.9986)""",,,,208
," -76.9841)""",,,,207
," -77.061)""",,,,207
," -77.2744)""",,,,207
," -77.0245)""",,,,206
," -77.0997)""",,,,205
," -77.1938)""",,,,205
," -77.1265)""",,,,205
," -77.2056)""",,,,204
," -77.1035)""",,,,204
120,1205,Crime Against Property,Robbery,ROBBERY - STREET-OTHER WEAPON,204
," -77.2715)""",,,,203
," -77.049)""",,,,203
," -77.2341)""",,,,202
," -77.2152)""",,,,202
," -77.1181)""",,,,202
," -77.2747)""",,,,202
," -77.0805)""",,,,201
120,1299,Crime Against Property,Robbery,ROBBERY (DESCRIBE OFFENSE),201
," -76.9977)""",,,,201
," -77.0166)""",,,,201
," -77.1727)""",,,,201
," -77.2378)""",,,,200
," -77.0035)""",,,,200
," -77.1866)""",,,,200
," -77.1589)""",,,,200
," -76.9901)""",,,,200
," -77.2051)""",,,,199
," -77.0639)""",,,,199
," -77.0911)""",,,,199
," -77.2737)""",,,,198
," -77.0204)""",,,,198
," -77.0875)""",,,,198
," -77.0401)""",,,,198
," -77.006)""",,,,198
," -76.9719)""",,,,198
," -77.0474)""",,,,197
," -77.1239)""",,,,197
90Z,3707,Crime Against Society,All Other Offenses,OBSCENE COMMUNICATION,197
," -77.0681)""",,,,196
," -77.0056)""",,,,196
," -76.9813)""",,,,196
," -77.0095)""",,,,196
," -77.0531)""",,,,196
," -77.172)""",,,,196
," -77.1132)""",,,,195
," -77.151)""",,,,195
," -76.9843)""",,,,194
," -77.1406)""",,,,194
," -77.0692)""",,,,194
," -77.2023)""",,,,194
," -77.2567)""",,,,194
," -77.0737)""",,,,194
," -77.1074)""",,,,194
," -77.1578)""",,,,194
," -76.9383)""",,,,194
," -77.0552)""",,,,194
," -77.252)""",,,,193
," -77.1815)""",,,,193
," -77.1041)""",,,,193
," -77.0634)""",,,,193
35A,3582,Crime Against Society,Drug/Narcotic Violations,DRUGS - BARBITURATE - POSSESS,193
," -77.2729)""",,,,193
," -77.045)""",,,,192
," -77.2701)""",,,,192
," -77.0167)""",,,,192
," -77.0486)""",,,,192
," -77.1263)""",,,,192
," -77.2623)""",,,,192
," -77.2596)""",,,,192
," -77.2086)""",,,,192
," -77.1631)""",,,,191
," -77.0584)""",,,,191
," -76.9882)""",,,,191
," -76.9774)""",,,,191
," -77.2221)""",,,,190
," -77.0921)""",,,,190
," -77.0114)""",,,,190
," -77.1939)""",,,,190
," -76.9845)""",,,,190
," -77.2179)""",,,,190
," -77.0968)""",,,,190
," -77.0034)""",,,,190
," -77.0452)""",,,,189
," -77.1314)""",,,,189
," -77.2723)""",,,,188
," -77.0088)""",,,,188
," -76.9924)""",,,,188
," -77.1852)""",,,,188
," -77.0278)""",,,,187
," -77.2072)""",,,,187
," -77.0867)""",,,,187
," -77.1492)""",,,,186
," -77.1212)""",,,,186
," -77.0702)""",,,,186
," -77.0942)""",,,,185
," -77.2303)""",,,,185
," -77.1472)""",,,,185
," -76.9928)""",,,,184
," -77.1096)""",,,,184
," -77.031)""",,,,184
," -77.0139)""",,,,184
," -77.0749)""",,,,184
," -77.2028)""",,,,184
," -77.2116)""",,,,184
250,2503,Crime Against Property,Counterfeiting/Forgery,COUNTERFEITING,183
," -77.0806)""",,,,183
," -77.2843)""",,,,183
," -77.0572)""",,,,182
," -77.0888)""",,,,182
," -77.2168)""",,,,181
," -77.1535)""",,,,181
," -77.1559)""",,,,180
120,1207,Crime Against Property,Robbery,ROBBERY - RESIDENTIAL-GUN,180
," -77.1248)""",,,,179
," -77.2553)""",,,,179
," -77.0142)""",,,,179
120,1203,Crime Against Property,Robbery,ROBBERY - BUSINESS-STRONG-ARM,179
," -77.088)""",,,,179
," -77.2323)""",,,,179
," -77.2629)""",,,,179
," -77.0471)""",,,,179
," -77.0963)""",,,,179
," -77.0512)""",,,,179
," -77.0711)""",,,,178
," -76.9944)""",,,,178
," -77.1501)""",,,,178
," -77.1635)""",,,,178
," -77.0651)""",,,,178
90Z,3611,Crime Against Society,All Other Offenses,SEX OFFENSE - PEEPING TOM,178
," -77.1832)""",,,,177
," -77.2675)""",,,,177
," -77.121)""",,,,177
," -77.1109)""",,,,177
," -76.9351)""",,,,176
," -77.1834)""",,,,176
," -77.0128)""",,,,176
," -77.0906)""",,,,176
," -77.0726)""",,,,176
," -77.1801)""",,,,175
," -77.208)""",,,,175
," -77.1017)""",,,,175
," -77.1127)""",,,,175
," -77.103)""",,,,175
," -77.2398)""",,,,174
," -77.1621)""",,,,174
," -77.0647)""",,,,174
," -77.2428)""",,,,174
," -77.1994)""",,,,173
," -77.2712)""",,,,173
," -77.0693)""",,,,173
," -77.0015)""",,,,173
," -76.9993)""",,,,173
," -77.1033)""",,,,173
," -76.9508)""",,,,173
," -77.1078)""",,,,173
," -77.075)""",,,,172
," -77.2872)""",,,,172
," -77.1275)""",,,,172
," -77.0435)""",,,,171
," -77.2019)""",,,,171
," -77.02)""",,,,171
," -77.2736)""",,,,171
," -76.9633)""",,,,170
," -77.2742)""",,,,170
," -77.1786)""",,,,170
," -77.1932)""",,,,170
," -77.0013)""",,,,170
," -77.1148)""",,,,170
," -76.9331)""",,,,169
," -77.0792)""",,,,169
," -76.9354)""",,,,169
," -77.0767)""",,,,169
," -77.1504)""",,,,169
," -77.0436)""",,,,168
," -77.0955)""",,,,168
," -77.1604)""",,,,168
," -76.9985)""",,,,168
," -77.0109)""",,,,168
," -77.2475)""",,,,168
," -77.0846)""",,,,168
," -77.0971)""",,,,167
120,1202,Crime Against Property,Robbery,ROBBERY - BUSINESS-OTHER WEAPON,167
," -77.0592)""",,,,167
," -77.195)""",,,,167
," -77.1615)""",,,,166
," -76.9937)""",,,,166
," -77.1907)""",,,,166
," -76.9294)""",,,,165
," -77.0989)""",,,,164
," -77.1433)""",,,,164
," -77.0453)""",,,,164
," -77.203)""",,,,164
," -77.0516)""",,,,164
," -77.11)""",,,,164
," -77.2527)""",,,,163
90C,3614,Crime Against Society,Disorderly Conduct,SEX OFFENSE - INDECENT EXPOSURE TO MINOR,163
," -77.0736)""",,,,163
," -77.2138)""",,,,163
," -77.0836)""",,,,163
," -76.985)""",,,,163
120,1209,Crime Against Property,Robbery,ROBBERY - RESIDENTIAL-STRONG-ARM,162
," -77.0765)""",,,,162
," -77.1998)""",,,,162
," -77.0199)""",,,,162
," -77.0779)""",,,,162
," -77.1999)""",,,,162
," -77.1158)""",,,,161
," -77.0974)""",,,,161
," -77.005)""",,,,161
," -77.0466)""",,,,160
370,3705,Crime Against Society,Pornography/Obscene Material,OBSCENE MATERIAL - DISTRIBUTE,160
," -77.1469)""",,,,160
," -77.107)""",,,,160
," -77.0067)""",,,,160
," -76.9588)""",,,,160
," -77.2587)""",,,,160
," -77.0797)""",,,,160
," -77.1996)""",,,,159
," -77.149)""",,,,159
," -77.0009)""",,,,159
," -76.9898)""",,,,159
," -77.0108)""",,,,159
," -77.1577)""",,,,159
," -76.9709)""",,,,159
," -77.1846)""",,,,158
," -77.0464)""",,,,158
," -77.0611)""",,,,158
," -77.2364)""",,,,158
," -77.2654)""",,,,158
36B,1116,Crime Against Person,Statuory Rape,STATUTORY RAPE - NO FORCE,158
," -77.114)""",,,,158
," -77.0233)""",,,,158
35A,3523,Crime Against Society,Drug/Narcotic Violations,DRUGS - OPIUM OR DERIVATIVE (DESCRIBE OFFENSE),158
," -76.9842)""",,,,157
," -77.1187)""",,,,157
," -77.07)""",,,,157
," -77.1424)""",,,,157
," -76.9885)""",,,,157
," -77.0106)""",,,,156
," -77.2456)""",,,,156
26A,2609,Crime Against Property,False Pretenses/Swindle/Confidence Game,FRAUD AND ABUSE - COMPUTER,156
," -77.1209)""",,,,156
," -76.9956)""",,,,156
," -77.0147)""",,,,156
," -77.1362)""",,,,156
," -77.0042)""",,,,155
," -77.2409)""",,,,155
," -77.1547)""",,,,155
," -77.0588)""",,,,155
," -77.1856)""",,,,155
," -77.1365)""",,,,155
," -76.9518)""",,,,155
," -77.1185)""",,,,155
," -76.9832)""",,,,155
," -77.01)""",,,,155
," -77.1696)""",,,,155
," -77.1196)""",,,,154
," -77.2157)""",,,,154
90Z,4803,Crime Against Society,All Other Offenses,OBSTRUCT POLICE - MAKING FALSE REPORT,154
," -77.0441)""",,,,154
," -77.2818)""",,,,154
," -77.2253)""",,,,153
," -77.2771)""",,,,153
," -77.1592)""",,,,153
," -77.0879)""",,,,153
720,9103,Crime Against Society,Animal Cruelty,ANIMAL CRUELTY,153
," -77.0786)""",,,,153
," -77.089)""",,,,153
," -77.2172)""",,,,153
," -77.029)""",,,,153
," -77.0715)""",,,,152
," -77.0957)""",,,,152
," -77.2455)""",,,,152
," -77.1926)""",,,,152
," -77.0332)""",,,,152
," -77.0022)""",,,,152
," -77.0583)""",,,,151
," -77.1184)""",,,,151
," -77.0069)""",,,,151
," -77.0913)""",,,,151
," -77.2437)""",,,,151
," -77.227)""",,,,151
," -77.2224)""",,,,151
210,2101,Crime Against Property,Extortion/Blackmail,EXTORT - THREAT INJURE PERSON,151
," -76.9535)""",,,,150
," -77.2572)""",,,,150
," -77.1692)""",,,,150
," -77.1638)""",,,,150
," -77.0431)""",,,,150
," -77.0656)""",,,,150
," -77.1339)""",,,,150
," -77.1285)""",,,,150
," -76.9978)""",,,,149
90Z,9031,Crime Against Society,All Other Offenses,DRUNKENNESS,149
," -77.0493)""",,,,149
120,1217,Crime Against Property,Robbery,ROBBERY - DOMESTIC,149
," -77.2)""",,,,149
," -77.234)""",,,,149
," -77.0133)""",,,,149
," -76.9748)""",,,,149
," -77.2429)""",,,,148
," -77.0063)""",,,,148
," -77.0061)""",,,,148
," -77.0028)""",,,,148
," -77.0818)""",,,,148
," -77.0699)""",,,,148
," -77.042)""",,,,148
," -76.9887)""",,,,148
," -76.9922)""",,,,147
," -77.0409)""",,,,147
," -77.0422)""",,,,147
," -77.0501)""",,,,147
," -76.9376)""",,,,147
," -77.2431)""",,,,146
13A,1301,Crime Against Person,Aggravated Assault,ASSAULT - AGGRAVATED - FAMILY-GUN,146
," -76.9866)""",,,,146
," -77.0641)""",,,,146
," -77.0451)""",,,,146
," -77.0252)""",,,,146
," -77.1289)""",,,,146
," -77.1954)""",,,,145
," -77.0753)""",,,,145
," -77.0925)""",,,,144
," -77.0277)""",,,,144
," -77.1814)""",,,,143
," -77.2026)""",,,,143
," -77.1302)""",,,,143
," -77.1306)""",,,,143
," -77.0593)""",,,,143
," -77.0783)""",,,,143
," -77.1044)""",,,,143
," -77.072)""",,,,143
," -77.1111)""",,,,143
," -76.9665)""",,,,143
," -77.0561)""",,,,143
," -77.2735)""",,,,143
90F,3899,Crime Against Society,"Family Offenses, NonViolent",FAMILY OFFENSE (DESCRIBE OFFENSE),143
," -77.0058)""",,,,141
," -77.1194)""",,,,141
," -77.1927)""",,,,141
," -77.1018)""",,,,141
," -77.2698)""",,,,141
," -77.1823)""",,,,141
," -77.2085)""",,,,141
," -77.1816)""",,,,141
," -77.2535)""",,,,141
," -77.2318)""",,,,140
," -77.2477)""",,,,140
," -77.1516)""",,,,140
," -77.1709)""",,,,140
," -77.0117)""",,,,140
," -77.0763)""",,,,140
," -77.4338)""",,,,139
," -77.1737)""",,,,139
," -77.0533)""",,,,139
," -77.0936)""",,,,139
," -77.1436)""",,,,139
," -76.9966)""",,,,138
," -77.021)""",,,,138
," -77.2358)""",,,,138
," -77.215)""",,,,138
," -77.0953)""",,,,138
," -77.1988)""",,,,138
," -76.9396)""",,,,138
," -77.1699)""",,,,138
," -77.0976)""",,,,138
," -77.0403)""",,,,138
," -76.998)""",,,,138
," -77.24)""",,,,138
," -77.1147)""",,,,137
," -77.1667)""",,,,137
," -77.1303)""",,,,137
," -77.2093)""",,,,137
," -77.073)""",,,,137
," -76.9706)""",,,,137
," -77.1542)""",,,,137
," -76.9769)""",,,,137
," -77.0476)""",,,,137
," -77.0714)""",,,,137
," -77.0562)""",,,,137
," -77.2667)""",,,,137
," -77.0759)""",,,,136
," -77.2678)""",,,,136
23D,2311,Crime Against Property,Theft from Building,LARCENY - FROM BANKING-TYPE INST,136
," -77.1908)""",,,,136
26G,2611,Crime Against Property,Hacking/Computer Invasion,FRAUD - HACKING/COMPUTER INVASION,136
," -77.0255)""",,,,136
," -77.1666)""",,,,136
," -77.2142)""",,,,135
," -77.2263)""",,,,135
," -77.1579)""",,,,135
," -77.1491)""",,,,135
," -77.0743)""",,,,134
," -77.191)""",,,,134
," -77.1137)""",,,,134
," -77.1751)""",,,,134
," -77.1521)""",,,,134
," -77.014)""",,,,134
," -77.0353)""",,,,134
," -77.1435)""",,,,134
," -77.1002)""",,,,134
," -77.2129)""",,,,134
," -77.1923)""",,,,134
," -77.2319)""",,,,134
," -77.1007)""",,,,133
," -77.0123)""",,,,133
," -77.0209)""",,,,133
," -77.0016)""",,,,133
," -77.2816)""",,,,133
," -77.2661)""",,,,133
," -77.0093)""",,,,133
," -77.1537)""",,,,133
," -76.9479)""",,,,133
," -77.1607)""",,,,133
," -77.1745)""",,,,133
," -77.0131)""",,,,133
," -76.9837)""",,,,132
," -76.9909)""",,,,132
," -77.0284)""",,,,132
270,2701,Crime Against Property,Embezzlement,EMBEZZLE - BUSINESS PROP,132
," -77.1608)""",,,,132
," -77.1678)""",,,,132
," -77.282)""",,,,132
280,2408,Crime Against Property,Stolen Property Offenses,AUTO THEFT - POSSESS STOLEN VEHICLE,132
11A,1112,Crime Against Person,Forcible Rape,SEX ASSAULT - SODOMY-BOY-STRONG-ARM,132
," -77.2582)""",,,,131
," -77.2493)""",,,,131
," -77.2052)""",,,,131
," -76.9971)""",,,,131
," -77.0952)""",,,,131
," -77.0994)""",,,,131
," -77.0644)""",,,,131
13C,5215,Crime Against Person,Intimidation,WEAPON - THREAT TO BOMB,131
," -77.0524)""",,,,131
," -77.1918)""",,,,131
," -77.0733)""",,,,131
," -77.0841)""",,,,130
," -77.1747)""",,,,130
," -77.0695)""",,,,130
," -77.2691)""",,,,130
," -77.1567)""",,,,130
," -77.0948)""",,,,130
," -77.1827)""",,,,129
," -77.1077)""",,,,129
," -77.1309)""",,,,129
," -77.1724)""",,,,129
," -77.055)""",,,,129
," -77.1104)""",,,,129
," -77.1161)""",,,,129
120,9002,Crime Against Property,Robbery,ROBBERY - CARJACKING - STRONG-ARM,129
," -77.1845)""",,,,129
," -76.9804)""",,,,129
," -77.2593)""",,,,128
," -77.1943)""",,,,128
," -77.1657)""",,,,128
250,2599,Crime Against Property,Counterfeiting/Forgery,COUNTERFEITING (DESCRIBE OFFENSE),128
," -77.1113)""",,,,128
," -77.0866)""",,,,128
," -77.2081)""",,,,128
," -76.9943)""",,,,128
," -77.1218)""",,,,127
," -77.1738)""",,,,127
," -77.2231)""",,,,127
," -77.0949)""",,,,127
," -77.1037)""",,,,127
," -76.9361)""",,,,127
," -77.2386)""",,,,127
," -77.1321)""",,,,127
," -77.2427)""",,,,126
," -77.0602)""",,,,126
," -77.2601)""",,,,126
," -77.0505)""",,,,126
," -76.9923)""",,,,126
," -77.2758)""",,,,126
," -77.2121)""",,,,126
," -76.984)""",,,,126
," -77.1697)""",,,,126
," -77.1861)""",,,,126
," -77.1957)""",,,,126
," -77.0993)""",,,,126
," -77.1149)""",,,,126
," -77.1844)""",,,,126
," -76.9823)""",,,,125
," -77.2506)""",,,,125
," -77.0965)""",,,,125
," -77.0247)""",,,,125
," -77.076)""",,,,125
," -77.1851)""",,,,125
," -77.0893)""",,,,125
," -77.0553)""",,,,125
," -77.2526)""",,,,125
," -77.0646)""",,,,125
," -76.922)""",,,,125
," -77.0855)""",,,,125
," -77.0682)""",,,,124
," -77.1115)""",,,,124
," -77.1173)""",,,,124
," -77.2452)""",,,,124
," -77.0057)""",,,,124
," -77.1648)""",,,,124
," -76.9342)""",,,,124
," -77.2568)""",,,,124
," -77.2283)""",,,,124
," -77.0962)""",,,,124
," -77.1584)""",,,,124
," -77.2063)""",,,,123
," -77.1895)""",,,,123
," -76.9927)""",,,,123
," -77.1008)""",,,,123
," -76.9467)""",,,,123
," -76.99)""",,,,123
," -77.19)""",,,,122
," -77.1156)""",,,,122
," -77.1323)""",,,,122
," -77.2536)""",,,,122
," -76.9587)""",,,,122
," -77.2453)""",,,,122
," -76.9818)""",,,,121
," -77.23)""",,,,121
," -77.0547)""",,,,121
," -77.2732)""",,,,121
," -77.0174)""",,,,121
," -77.0564)""",,,,121
," -77.1139)""",,,,121
," -77.1606)""",,,,121
," -77.0626)""",,,,121
," -77.0397)""",,,,121
," -77.0395)""",,,,121
," -77.0184)""",,,,121
," -77.1195)""",,,,121
," -77.18)""",,,,121
," -77.002)""",,,,121
," -77.1219)""",,,,120
," -77.1101)""",,,,120
," -77.1028)""",,,,120
," -77.2696)""",,,,120
," -77.0869)""",,,,120
," -77.1133)""",,,,120
," -77.2363)""",,,,120
," -77.1981)""",,,,120
," -77.2799)""",,,,120
," -77.1455)""",,,,120
," -77.1681)""",,,,120
," -77.0928)""",,,,119
," -77.2609)""",,,,119
," -77.2155)""",,,,119
," -77.2492)""",,,,119
," -77.08)""",,,,119
," -77.152)""",,,,119
," -77.2091)""",,,,119
," -77.0183)""",,,,119
," -77.154)""",,,,119
," -76.987)""",,,,119
," -77.1731)""",,,,119
," -77.0977)""",,,,118
," -77.2697)""",,,,118
," -77.033)""",,,,118
," -77.1031)""",,,,117
," -77.0739)""",,,,117
," -77.2024)""",,,,117
," -77.2375)""",,,,117
90Z,3613,Crime Against Society,All Other Offenses,SEX OFFENSE - SEX OFFENDER REGISTRATION VIOLATION,117
," -77.0322)""",,,,117
," -77.2717)""",,,,117
," -77.2132)""",,,,116
," -77.0555)""",,,,116
," -77.0623)""",,,,116
," -76.9526)""",,,,116
," -77.0581)""",,,,116
," -77.1917)""",,,,116
," -77.0242)""",,,,116
," -77.2334)""",,,,116
," -77.2805)""",,,,116
," -76.9385)""",,,,116
," -77.0945)""",,,,116
," -77.192)""",,,,116
," -77.0225)""",,,,116
," -77.0141)""",,,,115
," -77.0663)""",,,,115
," -77.0707)""",,,,115
," -77.1775)""",,,,115
," -77.1991)""",,,,115
," -77.1718)""",,,,115
," -77.0248)""",,,,115
," -77.27)""",,,,115
," -77.0448)""",,,,114
," -77.2014)""",,,,114
," -77.0785)""",,,,114
," -77.2759)""",,,,114
," -77.2851)""",,,,114
35A,3571,Crime Against Society,Drug/Narcotic Violations,DRUGS - AMPHETAMINE - SELL,114
," -77.0907)""",,,,114
," -77.1214)""",,,,114
," -77.2881)""",,,,114
," -77.0744)""",,,,114
," -77.0502)""",,,,114
," -77.1154)""",,,,114
," -77.0884)""",,,,114
200,2099,Crime Against Property,Arson,ARSON (DESCRIBE OFFENSE),114
," -77.1803)""",,,,113
," -77.0445)""",,,,113
," -77.0113)""",,,,113
," -77.2523)""",,,,113
," -77.0899)""",,,,113
," -77.0817)""",,,,113
," -77.023)""",,,,113
120,1215,Crime Against Property,Robbery,ROBBERY - OTHER WEAPON,113
," -77.0683)""",,,,113
40B,4008,Crime Against Society,Assisting or Promoting Prostitution,COMM SEX OFF - PROCURE PROSTITUTE - ADULT,113
," -77.2099)""",,,,113
," -77.2096)""",,,,113
," -77.4934)""",,,,113
," -76.9884)""",,,,113
," -77.1885)""",,,,113
," -77.1601)""",,,,113
," -77.2507)""",,,,113
," -77.2577)""",,,,113
," -77.0853)""",,,,113
," -77.0215)""",,,,112
," -77.229)""",,,,112
," -76.9979)""",,,,112
," -77.0591)""",,,,112
," -77.272)""",,,,112
," -77.1241)""",,,,112
," -77.0919)""",,,,112
," -77.0856)""",,,,112
," -77.1079)""",,,,112
," -76.9805)""",,,,112
," -77.0787)""",,,,111
," -77.1307)""",,,,111
," -77.087)""",,,,111
," -77.1828)""",,,,111
," -77.0894)""",,,,111
," -76.9886)""",,,,111
," -77.1887)""",,,,111
," -76.9311)""",,,,111
," -77.1796)""",,,,111
," -77.0933)""",,,,111
," -77.0073)""",,,,111
," -77.0456)""",,,,110
," -77.0018)""",,,,110
," -76.9976)""",,,,110
," -77.2278)""",,,,110
," -77.2391)""",,,,110
," -77.1884)""",,,,110
," -77.2725)""",,,,110
," -77.0603)""",,,,110
," -77.1593)""",,,,110
200,2006,Crime Against Property,Arson,ARSON - RESIDENTIAL,110
90F,3801,Crime Against Society,"Family Offenses, NonViolent",FAMILY OFFENSE - NEGLECT FAMILY,110
," -77.048)""",,,,110
," -77.081)""",,,,110
," -77.0659)""",,,,110
," -77.0982)""",,,,110
," -77.1819)""",,,,110
," -77.2235)""",,,,109
," -77.0754)""",,,,109
," -77.179)""",,,,109
," -77.011)""",,,,109
," -77.0922)""",,,,109
," -77.0345)""",,,,109
," -77.1752)""",,,,109
," -76.9807)""",,,,109
," -77.1868)""",,,,108
," -77.0484)""",,,,108
," -77.0025)""",,,,108
," -77.2393)""",,,,108
," -77.2136)""",,,,108
," -77.0138)""",,,,108
," -77.1234)""",,,,108
," -77.0198)""",,,,108
," -77.0539)""",,,,108
," -77.0625)""",,,,108
," -77.0914)""",,,,108
," -77.4205)""",,,,108
," -77.2068)""",,,,108
," -77.068)""",,,,108
," -77.0587)""",,,,108
," -77.2304)""",,,,108
," -76.9879)""",,,,108
," -76.9399)""",,,,108
," -77.2433)""",,,,108
," -77.1245)""",,,,108
," -77.0536)""",,,,108
," -77.0475)""",,,,107
," -76.9969)""",,,,107
," -77.246)""",,,,107
," -77.0257)""",,,,107
," -77.0734)""",,,,107
," -77.0407)""",,,,107
," -77.0871)""",,,,106
35A,3510,Crime Against Society,Drug/Narcotic Violations,DRUGS - HEROIN - SELL,106
," -77.1658)""",,,,106
," -77.0985)""",,,,106
," -77.2382)""",,,,106
," -77.2109)""",,,,106
," -77.2401)""",,,,106
," -77.1066)""",,,,106
," -77.0844)""",,,,106
," -77.0728)""",,,,106
," -77.2434)""",,,,106
," -77.0731)""",,,,106
," -77.078)""",,,,105
," -77.1081)""",,,,105
," -77.2346)""",,,,105
," -77.0705)""",,,,105
," -77.1049)""",,,,105
280,2804,Crime Against Property,Stolen Property Offenses,STOLEN PROPERTY - POSSESS,105
," -77.1824)""",,,,105
," -77.0563)""",,,,105
," -77.161)""",,,,105
," -77.0558)""",,,,105
," -77.0168)""",,,,105
," -77.1791)""",,,,105
," -77.0979)""",,,,105
," -77.0825)""",,,,105
," -77.0259)""",,,,105
," -77.0918)""",,,,105
," -77.0571)""",,,,104
," -77.0565)""",,,,104
," -77.0238)""",,,,104
," -77.0773)""",,,,104
," -77.0654)""",,,,104
," -77.2517)""",,,,104
," -77.0333)""",,,,104
," -77.0229)""",,,,104
," -77.1573)""",,,,104
," -77.0497)""",,,,104
," -77.242)""",,,,104
," -76.9967)""",,,,104
," -77.164)""",,,,104
," -77.2714)""",,,,104
," -77.0891)""",,,,104
," -77.0043)""",,,,104
," -77.0051)""",,,,104
," -77.2287)""",,,,104
," -77.275)""",,,,104
," -77.0789)""",,,,103
," -76.9945)""",,,,103
," -77.1716)""",,,,103
35A,3513,Crime Against Society,Drug/Narcotic Violations,DRUGS - HEROIN - (DESCRIBE OFFENSE),103
," -77.1829)""",,,,103
," -77.1118)""",,,,103
," -77.1152)""",,,,103
," -77.0032)""",,,,103
," -77.2863)""",,,,103
," -76.9711)""",,,,103
," -77.0712)""",,,,103
," -77.0835)""",,,,103
," -77.1288)""",,,,102
," -77.1906)""",,,,102
," -77.0904)""",,,,102
," -77.0124)""",,,,102
," -77.0674)""",,,,102
," -77.2688)""",,,,102
," -77.1383)""",,,,102
," -77.0804)""",,,,102
," -77.1629)""",,,,102
," -77.0926)""",,,,101
," -77.1119)""",,,,101
," -77.2709)""",,,,101
," -77.1973)""",,,,101
," -77.1342)""",,,,101
," -77.2848)""",,,,101
," -77.1396)""",,,,101
," -77.102)""",,,,101
," -77.0873)""",,,,101
," -77.1418)""",,,,101
," -77.2432)""",,,,101
," -77.1839)""",,,,101
," -77.2548)""",,,,101
13A,1311,Crime Against Person,Aggravated Assault,ASSAULT - AGGRAVATED - POL OFF-OTHER WEAPON,101
," -77.1188)""",,,,101
," -77.2802)""",,,,101
," -77.1343)""",,,,100
," -77.2767)""",,,,100
," -77.2134)""",,,,100
," -77.1298)""",,,,100
," -77.2741)""",,,,100
," -76.9817)""",,,,100
," -77.0418)""",,,,100
," -77.0118)""",,,,99
," -77.2058)""",,,,99
," -77.0629)""",,,,99
," -77.1171)""",,,,99
," -77.2177)""",,,,99
," -77.1135)""",,,,99
," -77.1493)""",,,,99
," -77.0193)""",,,,99
," -77.1488)""",,,,99
," -77.1741)""",,,,99
," -76.9861)""",,,,99
," -77.1863)""",,,,99
," -77.1728)""",,,,99
," -77.2645)""",,,,99
," -77.2756)""",,,,99
," -77.0819)""",,,,99
," -77.084)""",,,,98
," -77.0529)""",,,,98
," -77.0579)""",,,,98
," -77.0221)""",,,,98
," -77.0473)""",,,,98
," -77.1779)""",,,,98
," -76.9573)""",,,,98
," -77.0803)""",,,,98
," -77.1523)""",,,,98
," -77.128)""",,,,98
," -77.0618)""",,,,98
," -77.2127)""",,,,98
," -77.2441)""",,,,98
," -77.0748)""",,,,98
," -77.2159)""",,,,98
," -77.1141)""",,,,98
," -77.0092)""",,,,98
," -76.9367)""",,,,98
," -77.0684)""",,,,98
," -77.0704)""",,,,97
," -77.1903)""",,,,97
," -77.2631)""",,,,97
," -77.1539)""",,,,97
," -77.115)""",,,,97
," -77.2422)""",,,,97
," -77.1668)""",,,,97
," -76.9795)""",,,,97
," -77.184)""",,,,97
," -77.2128)""",,,,97
," -77.1034)""",,,,97
," -77.1011)""",,,,97
," -77.1612)""",,,,97
," -77.0868)""",,,,97
," -77.1305)""",,,,97
," -76.9859)""",,,,97
," -77.256)""",,,,96
," -77.0262)""",,,,96
," -77.0125)""",,,,96
," -77.2511)""",,,,96
," -77.2889)""",,,,96
," -77.2005)""",,,,96
," -77.1854)""",,,,96
," -77.1012)""",,,,96
," -76.9981)""",,,,96
," -77.0243)""",,,,96
," -77.0606)""",,,,95
," -77.0745)""",,,,95
," -77.2396)""",,,,95
," -77.0081)""",,,,95
," -77.0832)""",,,,95
," -77.2053)""",,,,95
," -76.957)""",,,,95
," -77.1358)""",,,,95
," -76.9504)""",,,,95
," -77.09)""",,,,95
," -77.0157)""",,,,95
," -77.1754)""",,,,95
," -77.1937)""",,,,95
," -76.9975)""",,,,95
," -77.0432)""",,,,95
," -77.2726)""",,,,95
," -76.9835)""",,,,95
," -77.1705)""",,,,95
90Z,5006,Crime Against Society,All Other Offenses,OBSTRUCT GOVT - OBSTRUCTING JUSTICE,95
," -77.0405)""",,,,94
," -77.1893)""",,,,94
," -77.1193)""",,,,94
64A,6411,Crime Against Person,"Human Trafficking, Commercial Sex Acts",HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,94
," -77.2002)""",,,,94
," -77.0116)""",,,,94
," -77.057)""",,,,94
," -77.0538)""",,,,94
," -76.9525)""",,,,94
," -77.183)""",,,,94
," -77.2183)""",,,,94
," -77.2772)""",,,,94
," -77.1165)""",,,,94
," -77.058)""",,,,93
," -77.1743)""",,,,93
," -76.9482)""",,,,93
," -77.012)""",,,,93
," -76.9452)""",,,,93
," -77.0214)""",,,,93
," -77.2864)""",,,,93
," -77.0467)""",,,,93
," -77.0006)""",,,,93
," -77.139)""",,,,93
," -76.9973)""",,,,93
," -77.0908)""",,,,92
," -77.0086)""",,,,92
," -77.2296)""",,,,92
," -76.9747)""",,,,92
," -77.236)""",,,,92
," -77.0207)""",,,,92
," -77.0156)""",,,,92
," -77.2029)""",,,,92
," -77.2154)""",,,,92
," -77.1421)""",,,,92
," -77.1722)""",,,,92
," -76.9729)""",,,,92
," -77.1411)""",,,,92
," -77.0219)""",,,,92
," -77.0319)""",,,,92
