nibrs_code,offence_code,crimename1,crimename2,crimename3,row_count
13A,1303,Crime Against Person,Aggravated Assault,ASSAULT - AGGRAVATED - FAMILY-STRONG-ARM,1057
," -77.1278)""",,,,1055
290,2903,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PUBLIC,1045
35A,3560,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - SELL,1029
13A,1314,Crime Against Person,Aggravated Assault,ASSAULT - AGGRAVATED - GUN,1025
220,2205,Crime Against Property,Burglary/Breaking and Entering,BURGLARY - NO FORCED ENTRY-NONRESIDENTIAL,1025
," -77.2898)""",,,,1021
," -77.2381)""",,,,1007
," -77.1466)""",,,,1001
220,2299,Crime Against Property,Burglary/Breaking and Entering,BURGLARY (DESCRIBE OFFENSE),1001
90D,5403,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE DRUGS,980
370,3700,Crime Against Society,Pornography/Obscene Material,OBSCENE MATERIAL,974
," -77.0254)""",,,,947
," -77.0241)""",,,,943
," -77.0239)""",,,,933
," -77.0127)""",,,,932
90Z,9061,Crime Against Society,All Other Offenses,FUGITIVE FROM MD JURISDICTION,925
," -77.245)""",,,,919
," -77.0967)""",,,,916
," -77.1925)""",,,,905
," -77.2027)""",,,,901
," -77.0987)""",,,,898
," -76.9899)""",,,,877
," -77.1983)""",,,,868
," -77.0752)""",,,,862
35A,3530,Crime Against Society,Drug/Narcotic Violations,DRUGS - COCAINE - SELL,853
," -77.1529)""",,,,845
," -76.9871)""",,,,838
," -76.9881)""",,,,826
90Z,9062,Crime Against Society,All Other Offenses,FUGITIVE FROM JUSTICE (OUT OF STATE),809
," -77.1247)""",,,,808
," -77.1993)""",,,,807
120,1216,Crime Against Property,Robbery,ROBBERY - STRONG ARM,806
," -76.9883)""",,,,797
23H,2309,Crime Against Property,All other Larceny,LARCENY - FROM YARDS,796
," -77.1771)""",,,,784
," -77.0089)""",,,,779
," -77.209)""",,,,778
11D,3699,Crime Against Person,Forcible Fondling,SEX OFFENSE - FONDLING,775
," -77.0218)""",,,,772
," -77.0766)""",,,,768
," -77.202)""",,,,763
," -77.0315)""",,,,758
90C,3605,Crime Against Society,Disorderly Conduct,SEX OFFENSE - INDECENT EXPOSURE,757
," -77.2282)""",,,,752
," -77.2076)""",,,,747
," -77.0296)""",,,,735
," -77.0478)""",,,,733
," -77.1865)""",,,,730
," -77.0956)""",,,,728
," -77.0065)""",,,,727
," -77.2097)""",,,,727
," -77.0498)""",,,,725
," -77.2022)""",,,,724
," -77.1474)""",,,,717
," -77.1167)""",,,,713
," -77.0778)""",,,,700
," -77.1933)""",,,,693
," -76.9953)""",,,,692
," -77.1136)""",,,,689
," -77.0499)""",,,,688
," -77.263)""",,,,688
," -77.077)""",,,,678
," -77.0857)""",,,,678
," -76.9766)""",,,,678
," -77.204)""",,,,676
23B,2302,Crime Against Property,Purse-snatching,LARCENY - PURSE SNATCHING - NO FORCE,672
," -77.0727)""",,,,669
," -77.1826)""",,,,665
," -77.197)""",,,,662
," -77.0668)""",,,,660
," -77.1332)""",,,,653
," -77.027)""",,,,651
," -76.9878)""",,,,650
90G,4102,Crime Against Society,Liquor Law Violations,LIQUOR - SELL,650
," -77.096)""",,,,650
90F,3806,Crime Against Society,"Family Offenses, NonViolent",FAMILY OFFENSE - NEGLECT CHILD (INCLUDES NONSUPPOR,650
11D,3601,Crime Against Person,Forcible Fondling,SEX OFFENSE - AGAINST CHILD-FONDLING,649
," -77.2385)""",,,,647
," -77.2174)""",,,,646
240,2499,Crime Against Property,Motor Vehicle Theft,STOLEN VEHICLE (DESCRIBE OFFENSE),646
," -77.0323)""",,,,642
," -77.1997)""",,,,638
," -77.1345)""",,,,632
270,2799,Crime Against Property,Embezzlement,EMBEZZLE (DESCRIBE OFFENSE),632
," -76.9862)""",,,,629
," -77.0772)""",,,,628
," -77.0364)""",,,,628
520,5213,Crime Against Society,Weapon Law Violations,WEAPON - FIRING,622
," -77.2244)""",,,,622
," -77.2066)""",,,,618
90Z,9041,Crime Against Society,All Other Offenses,SUICIDE - COMPLETED,617
35A,3504,Crime Against Society,Drug/Narcotic Violations,DRUGS - HALLUCINOGEN - POSSESS,614
