offense,row_count
THEFT/OTHER,86084
THEFT F/AUTO,55245
MOTOR VEHICLE THEFT,28521
ROBBERY,15243
ASSAULT W/DANGEROUS WEAPON,9604
BURGLARY,7759
HOMICIDE,1377
SEX ABUSE,1190
ARSON,49
