offense,source_file_uri
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00018.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2022/part-00025.parquet
HOMICIDE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00000.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00027.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2020/part-00011.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00004.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00001.parquet
HOMICIDE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2022/part-00000.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00003.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00000.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00000.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00000.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00024.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00014.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00016.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00028.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00028.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00028.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00029.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00018.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00018.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00030.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00030.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2021/part-00016.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00019.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00022.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00010.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00012.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00000.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00000.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00001.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00013.parquet
SEX ABUSE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2022/part-00006.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00002.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00026.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00015.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00027.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00028.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00018.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00018.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00018.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00019.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00007.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00020.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00032.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00022.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00022.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00011.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00000.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00001.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00016.parquet
BURGLARY,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00005.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00029.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00029.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00005.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00031.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00020.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00009.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00022.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00022.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00022.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00000.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00000.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00012.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00000.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00001.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00001.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00025.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00002.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00015.parquet
