stat_desc,row_count
"ASSAULT, FELONY: ADW, Peace Officer - Hands, Feet, Fist, Etc.",1926
FEDERAL OFFENSES WITH MONEY: All Other Federal Offenses With Money,1859
"BURGLARY, OTHER STRUCTURE: Night, Attempt",1855
GRAND THEFT: Purse Snatch,1799
VAGRANCY/QUALITY OF LIFE:Illegal Vending,1718
"FELONIES, MISCELLANEOUS: Extortion",1709
"ROBBERY, WEAPON: Convenience Store, Fast Food, Restaurant",1686
DEFRAUDING: Defrauding Innkeeper (Fel Or Misd),1681
SEX MISDEMEANORS: Annoy/Molest Children,1647
OFFENSES AGAINST FAMILY: Child Neglect,1592
ARSON: All Others,1587
VEHICLE BURGLARY: Other Vehicle Burglary,1549
LIQUOR LAWS: Possession Open Container (County Or City Park),1541
"RAPE BY FORCE, FEMALE UNDER 18",1459
FRAUD: Fraudulent Credit Applications,1451
DRUNK DRIVING - VEHICLE/BOAT: Drugs Only,1423
LOCKER BURGLARY,1387
"ROBBERY, STRONG-ARM: Convenience Store, Fast Food, Restaurant",1383
FEDERAL OFFENSES WITH MONEY: Theft Of Mail,1326
"ROBBERY, STRONG-ARM: Carjacking",1301
"ROBBERY, STRONG-ARM: Residence",1295
FEDERAL OFFENSES WITH MONEY: Counterfeiting U.S. Money,1142
"ROBBERY, WEAPON: Residence",1127
CRIMINAL HOMICIDE: Murder,1123
"DRUNK DRIVING - VEHICLE/BOAT: Alcohol/Drugs (Injury/Death), Felony",1104
DISORDERLY CONDUCT: Disturbing The Peace/Court Disturbances,1029
FAILING TO REGISTER AS SEX OFFENDER - FELONY,989
"HOMICIDE, CRIMINAL / NON-CRIMINAL",957
SEX FELONIES: Unlawful Sexual Intercourse,953
FIDUCIARY ELDER/DEPENDENT ADULT ABUSE,844
"BURGLARY, OTHER STRUCTURE: Unknown, Attempt",778
"BURGLARY, RESIDENCE: Unknown, Attempt",768
"FELONIES, MISCELLANEOUS: Kidnapping",704
WORTHLESS DOCUMENTS/FORGERY: NSF/Account Closed/Checks - Over $200,649
FRAUD: Computer System Crimes,649
DRUNK DRIVING - VEHICLE/BOAT: Alcohol at .08% Or Above,645
ARSON: Single Occupancy Residential,644
"BURGLARY, OTHER STRUCTURE: Day, Attempt",549
WEAPON LAWS: FIREARM W/NARCOTICS: Felony,533
WORTHLESS DOCUMENTS/FORGERY: Possess of Completed Checks/Money Order,533
NARCOTICS: Miscellaneous Felonies,506
TOBACCO LAWS: Furnishing Tobacco to Minors,491
"FELONIES, MISCELLANEOUS: Perjury",466
DISORDERLY CONDUCT: Peeping And/Or Prowling,447
DISORDERLY CONDUCT: Interfering W/School Activities,433
WARRANTS: Warrant Service No Booking,425
"THEFT, PETTY: From Coin Operated Machine",421
VEHICLE BURGLARY: Attempt Truck/Cargo Van Burglary,419
"FELONIES, MISCELLANEOUS: False Report Bomb/Emergency",414
SEX FELONIES: Pandering,412
LIQUOR LAWS: Possession Of Alcohol By Minor,407
"ROBBERY, WEAPON: Service Station",405
SEX MISDEMEANORS: Engage/Solicit Lewd Or Obscene Conduct,398
FRAUD: Fraud By Trick Or Device - $400 Or Less,390
DEFRAUDING: Embezzlement (Misd),385
"DEPENDENT ADULT ABUSE: MENTAL, PHYSICAL, FUDUCIARY",361
WORTHLESS DOCUMENTS/FORGERY: Forgery - Prescriptions,359
"MISDEMEANORS, MISCELLANEOUS: Cruelty To Animals",358
"ARSON: Community/Public (Churches, Jails, Schools, Etc)",352
"ARSON: Other Commercial (Stores, Restaurants, Etc)",350
"ASSAULT, NON-AGG: Threat Public/School Official",344
"RAPE, FORCIBLE: Attempt Rape by Force, Female 18 YRS +",343
"MISDEMEANORS, MISCELLANEOUS: Public Nuisance",332
"MISDEMEANORS, MISCELLANEOUS: Parole/Probation Violation",307
GRAND THEFT: Boat,301
DRUNK: Drugs,287
"FELONIES, MISCELLANEOUS: Escape, Adult/Juvenile",274
"FELONIES, MISCELLANEOUS: False Imprisonment",270
DEFRAUDING: Defrauding Public Convey/Util. (Fel Or Misd),270
"ARSON: Other Residential (Apts, Hotels, Dorms, Etc)",267
FAILING TO REGISTER AS SEX OFFENDER - MISD.,264
"GRAND THEFT VEHICLE (GTA): Other Veh, Attempt(Snowmobile, Golf Cart)",262
HATE INCIDENTS - NON CRIMINAL,261
"ROBBERY, STRONG-ARM: Service Station",249
WARRANTS: Misdemeanor,243
"RAPE BY FORCE, MALE UNDER 18",231
MENTAL ELDER/DEPENDENT ADULT ABUSE,226
"WARRANTS: Felony, In County",219
GAMBLING: Gambling/Touting,218
"RAPE BY FORCE, MALE 18 AND OVER",213
