column,dtype,null_count,null_pct,n_unique,uniqueness_ratio,avg_string_length,max_string_length,taxonomy_name_score,taxonomy_name_reasons,profile_status,accepted,rejection_reason,explicit_override,selected_for_combination
offense_category_id,String,0,0.0,13,0.00003459498585597309,14.48780260633301,28,23,offen[sc]e:15; category:8,profiled,true,,true,true
offense_code_extension,Int64,0,0.0,7,0.000018628069307062434,,,20,offen[sc]e:15; code:5,profiled,true,,true,true
offense_code,String,0,0.0,135,0.0003592556223504898,4.0,4,20,offen[sc]e:15; code:5,profiled,true,,true,true
offense_type_id,String,0,0.0,173,0.00046037942716025727,20.885599704079812,30,20,offen[sc]e:15; type:5,profiled,true,,true,true
is_crime,Int64,0,0.0,1,2.661152758151776e-6,,,10,crime:10,profiled,true,,false,true
geometry_type,String,1,0.0002661152758151776,2,5.322319679809248e-6,5.0,5,5,type:5,profiled,true,,false,true
offense_id,String,0,0.0,375777,1.0,18.137855696330536,21,15,offen[sc]e:15,profiled,false,n_unique>50000,false,false
