report_type_description,incident_description,incident_subcategory,report_type_code,incident_category,incident_code,row_count
Initial,"Theft, From Building, $50-$200",Larceny Theft - From Building,II,Larceny Theft,06302,2605
Initial,"Theft, Other Property, $200-$950",Larceny Theft - Other,II,Larceny Theft,06373,2502
Initial,"Dog, Bite or Attack",Other,II,Non-Criminal,64010,2437
Initial,"Theft, Other Property, >$950",Larceny Theft - Other,II,Larceny Theft,06374,2427
Coplogic Supplement,"Theft, Other Property, >$950",Larceny Theft - Other,IS,Larceny Theft,06374,2424
Initial,"Assault, Aggravated, W/ Knife",Aggravated Assault,II,Assault,04012,2419
Initial,"Battery, former Spouse or Dating Relationship",Simple Assault,II,Assault,04138,2418
Initial,"Theft, From Person, $200-$950 (other than Pickpocket)",Larceny Theft - Other,II,Larceny Theft,06153,2412
Initial,"Cocaine, Base/rock, Possession For Sale",Drug Violation,II,Drug Offense,16623,2349
Vehicle Initial,"Vehicle, Stolen, Other Vehicle",Motor Vehicle Theft,VI,Motor Vehicle Theft,07026,2338
Initial,Fraudulent Use Of Automated Teller Card,Fraud,II,Fraud,09250,2237
Initial,"Burglary, Hot Prowl, Forcible Entry",Burglary - Hot Prowl,II,Burglary,05081,2237
Initial,"Stay Away or Court Order, Non-DV Related",Non-Criminal,II,Non-Criminal,71024,2210
Initial,"Vehicle, Tampering",Vandalism,II,Vandalism,07100,2205
Initial,Methamphetamine Offense,Drug Violation,II,Drug Offense,16650,2193
Initial Supplement,Found  Property,Non-Criminal,IS,Non-Criminal,72000,2141
Initial,False Personation,Fraud,II,Fraud,09027,2131
Initial,"Robbery, Street or Public Place, W/ Force",Robbery - Street,II,Robbery,03014,2121
Initial,Probation Violation,Other,II,Other Miscellaneous,26170,2119
Initial,"Burglary Tools, Possession Of",Other,II,Other Miscellaneous,27130,2063
Initial,Lodging Without Permission,Loitering,II,Other Miscellaneous,27199,2058
Initial,"Shoplifting, Force against Agent",Robbery - Commercial,II,Robbery,03401,1999
Initial Supplement,"Theft, From Locked Vehicle, >$950",Larceny - From Vehicle,IS,Larceny Theft,06244,1972
Initial,Evading a Police Officer Recklessly,Other,II,Other Miscellaneous,27175,1951
Initial,"Theft, From Building, <$50",Larceny Theft - From Building,II,Larceny Theft,06301,1908
Initial Supplement,Battery,Simple Assault,IS,Assault,04134,1850
Coplogic Supplement,"Theft, Other Property, $50-$200",Larceny Theft - Other,IS,Larceny Theft,06372,1828
Initial,"Theft, Other Property, $50-$200",Larceny Theft - Other,II,Larceny Theft,06372,1822
Initial,"Malicious Mischief, Graffiti, Real or Personal Property",Vandalism,II,Malicious Mischief,28165,1804
Initial,"Theft, From Unlocked Vehicle, >$950",Larceny - From Vehicle,II,Larceny Theft,06224,1747
Initial,"Burglary, Non-residential, Unlawful Entry",Burglary - Other,II,Burglary,05153,1731
Initial,"Robbery, W/ Gun",Robbery - Other,II,Robbery,03071,1653
Initial,"Theft, From Locked Vehicle, Att.",Larceny - From Vehicle,II,Larceny Theft,06240,1644
Initial,"Heroin, Possession For Sale",Drug Violation,II,Drug Offense,16110,1583
Initial,"Burglary, Store, Unlawful Entry",Burglary - Commercial,II,Burglary,05053,1581
Initial,"Drugs, Under Influence  in a Public Place",Drug Violation,II,Disorderly Conduct,19095,1551
Vehicle Initial,"Vehicle, Recovered, Auto",Recovered Vehicle,VI,Recovered Vehicle,07041,1501
Initial,"Theft, Lost Property, Petty",Larceny Theft - Other,II,Larceny Theft,27090,1485
Initial,"Theft, From Unlocked Vehicle, $200-$950",Larceny - From Vehicle,II,Larceny Theft,06223,1468
Initial,"Vehicle, Stolen, Attempted",Motor Vehicle Theft (Attempted),II,Motor Vehicle Theft,07051,1450
Initial,"Theft, Bicycle, >$950",Larceny Theft - Bicycle,II,Larceny Theft,06314,1450
Initial,Fire Report,Fire Report,II,Fire Report,68000,1450
Initial,"Opiates, Possession For Sale",Drug Violation,II,Drug Offense,16220,1417
Initial,"Firearm, Discharging Within City Limits",Weapons Offense,II,Weapons Offense,12027,1399
Initial Supplement,"Stolen Property, Possession with Knowledge, Receiving",Stolen Property,IS,Stolen Property,11012,1363
Initial,"Theft, Other Property, <$50",Larceny Theft - Other,II,Larceny Theft,06371,1341
Initial,Battery with Serious Injuries,Simple Assault,II,Assault,04136,1309
Initial,"Firearm, Possession By Prohibited Person",Weapons Offense,II,Weapons Carrying Etc,12080,1294
Initial,"Theft, Pickpocket, $200-$950",Larceny Theft - Pickpocket,II,Larceny Theft,06113,1268
Initial,"Alcohol, Under Influence Of In Public Place",Drunkenness,II,Disorderly Conduct,19090,1268
Initial Supplement,Suspicious Occurrence,Suspicious Occ,IS,Suspicious Occ,64070,1259
Initial,Arson,Arson,II,Arson,26030,1258
Initial,Suspicious Act Towards Female,Suspicious Occ,II,Suspicious Occ,64060,1254
Initial,Violation of Stay Away Order,Other,II,Offences Against The Family And Children,15162,1254
Initial,"Assault, Aggravated, W/ Gun",Aggravated Assault,II,Assault,04011,1211
Initial,"Controlled Substance, Possession For Sale",Drug Violation,II,Drug Offense,16662,1210
Initial,"Aided case, Naloxone Deployment",Non-Criminal,II,Non-Criminal,51050,1200
Initial Supplement,Investigative Detention,Other,IS,Other Miscellaneous,64085,1196
Initial,Loitering Where Narcotics are Sold/Used,Drug Violation,II,Drug Offense,16704,1163
Coplogic Initial,"Phone Calls, Harassing",Other,II,Malicious Mischief,28135,1137
Initial,"Burglary, Residence, Att. Forcible Entry",Burglary - Residential,II,Burglary,05042,1101
Initial Supplement,"Malicious Mischief, Vandalism to Property",Vandalism,IS,Malicious Mischief,28150,1058
Initial Supplement,Terrorist Threats,Intimidation,IS,Disorderly Conduct,19057,1051
Initial,"Phone Calls, Harassing",Other,II,Malicious Mischief,28135,1048
Initial Supplement,Miscellaneous Investigation,Miscellaneous Investigation,IS,Miscellaneous Investigation,68020,1043
Initial,"Aided Case, Injured or Sick Person",Other,II,Non-Criminal,64015,1039
Initial Supplement,"Assault, Aggravated, W/ Other Weapon",Aggravated Assault,IS,Assault,04013,1029
Initial Supplement,"Warrant Arrest, Enroute To Outside Jurisdiction",Warrant,IS,Warrant,62050,1022
Initial,"Burglary, Vehicle (Arrest made)",Theft From Vehicle,II,Larceny Theft,05014,988
Vehicle Initial,"License Plate, Recovered",Other Offenses,VI,Other Offenses,71012,984
Initial,"Theft, From Person, $50-$200 (other than Pickpocket)",Larceny Theft - Other,II,Larceny Theft,06152,983
Coplogic Initial,"Theft, Shoplifting, $200-$950",Larceny Theft - Shoplifting,II,Larceny Theft,06363,981
Initial,Driving While Under The Influence Of Alcohol,Other,II,Other Miscellaneous,65050,981
Initial Supplement,Missing Adult,Missing Adult,IS,Missing Person,74000,969
Initial Supplement,"Access Card, incl. Credit, Phone, ATM, Fraudulent Use of",Fraud,IS,Fraud,09320,951
Initial,"Theft, Pickpocket, >$950",Larceny Theft - Pickpocket,II,Larceny Theft,06114,948
Vehicle Supplement,"Vehicle, Stolen, Other Vehicle",Motor Vehicle Theft,VS,Motor Vehicle Theft,07026,943
Initial,False Imprisonment,Simple Assault,II,Assault,04170,943
Initial,Search Warrant Service,Non-Criminal,II,Non-Criminal,75025,943
Initial Supplement,"Theft, Shoplifting, >$950",Larceny Theft - Shoplifting,IS,Larceny Theft,06364,938
Initial Supplement,"Burglary, Store, Unlawful Entry",Burglary - Commercial,IS,Burglary,05053,930
Initial Supplement,"Vehicle, Recovered, Auto",Recovered Vehicle,IS,Recovered Vehicle,07041,928
Initial,Restraining Order Notification/Service of Restraining Order,Other,II,Offences Against The Family And Children,15155,925
Coplogic Supplement,Lost Property,Lost Property,IS,Lost Property,71000,914
Initial,"Firearm, Possession of Loaded",Weapons Offense,II,Weapons Carrying Etc,12100,907
Initial Supplement,"Malicious Mischief, Vandalism to Vehicle",Vandalism,IS,Malicious Mischief,28160,904
Initial,"Identification To Peace Officer, False",Fraud,II,Other Miscellaneous,27065,902
Initial Supplement,False Personation to Receive Money or Property,Fraud,IS,Fraud,09029,898
Initial,"Theft, Bicycle, $200-$950",Larceny Theft - Bicycle,II,Larceny Theft,06313,892
Initial,"Firearm, Turned In by Public",Non-Criminal,II,Non-Criminal,73010,882
Initial Supplement,"Assault, Aggravated, W/ Force",Aggravated Assault,IS,Assault,04014,875
Vehicle Supplement,"Vehicle, Recovered, Other Vehicle",Recovered Vehicle,VS,Recovered Vehicle,07046,850
Initial,"Theft, From Unlocked Vehicle, $50-$200",Larceny - From Vehicle,II,Larceny Theft,06222,838
Initial,"Robbery, Att., W/ Force",Robbery - Other,II,Robbery,03474,831
Initial,"Battery, Sexual",Simple Assault,II,Assault,04144,831
Initial,"Burglary, Residence Under Constr, Forcible Entry",Burglary - Residential,II,Burglary,05141,811
Initial Supplement,"Resisting, Delaying, or Obstructing  Peace Officer Duties",Other,IS,Other Miscellaneous,27170,795
Initial,"Warrant Arrest, Enroute To Parole",Warrant,II,Warrant,62030,789
Initial,Incident On School Grounds,Other,II,Disorderly Conduct,19089,788
Initial Supplement,Conspiracy,Other,IS,Other Miscellaneous,26080,776
Initial,"Battery, Of A Police Officer",Simple Assault,II,Assault,04154,769
Initial,"Theft, From Unlocked Vehicle, <$50",Larceny - From Vehicle,II,Larceny Theft,06221,768
Initial,"Burglary, Other Bldg., Att. Forcible Entry",Burglary - Other,II,Burglary,05072,767
Initial,"Weapon, Carrying Concealed",Weapons Offense,II,Weapons Offense,12015,765
Initial,"Robbery, W/ Other Weapon",Robbery - Other,II,Robbery,03073,762
Initial,False Personation and Cheat Crimes (general),Fraud,II,Fraud,09026,762
Initial,"Firearm, Loaded, in Vehicle, Possession or Use",Weapons Offense,II,Weapons Carrying Etc,12168,760
Initial,Municipal Code Violation (general),Other,II,Other Offenses,30200,758
Initial,"Theft, Pickpocket, $50-$200",Larceny Theft - Pickpocket,II,Larceny Theft,06112,754
Initial,"Robbery, Street or Public Place, W/ Gun",Robbery - Street,II,Robbery,03011,754
Initial,Hate Crime (secondary only),Other,II,Offences Against The Family And Children,15300,748
Initial Supplement,"Vehicle, Stolen, Auto",Motor Vehicle Theft,IS,Motor Vehicle Theft,07021,746
Initial,"Parole Violation, Adult",Other,II,Other Miscellaneous,26150,743
Initial Supplement,"Fraudulent Game or Trick, Obtaining Money or Property",Fraud,IS,Fraud,09024,730
Vehicle Initial,"License Plate, Found",Other Offenses,VI,Other Offenses,71011,729
Initial,"Assault, Non-Aggravated",Simple Assault,II,Assault,04104,719
Initial,"Malicious Mischief, Tire Slashing",Vandalism,II,Malicious Mischief,28161,719
Initial,"Death Report, Natural Causes",Other,II,Other,61040,717
Initial,"Burglary, Hot Prowl, Att. Forcible Entry",Burglary - Hot Prowl,II,Burglary,05082,710
Initial,"Theft, False Pretenses, Felony",Fraud,II,Fraud,10125,706
Initial,"Robbery, W/ Knife",Robbery - Other,II,Robbery,03072,702
Initial Supplement,"Robbery, W/ Force",Robbery - Other,IS,Robbery,03074,691
Vehicle Supplement,"Vehicle, Stolen, Auto",Motor Vehicle Theft,VS,Motor Vehicle Theft,07021,684
Initial Supplement,Traffic Violation Arrest,Traffic Violation Arrest,IS,Traffic Violation Arrest,65010,680
Initial,"Warrant Arrest, Enroute To Dept. Of Corrections",Warrant,II,Warrant,62020,668
Initial Supplement,Driving While Under The Influence Of Alcohol,Other,IS,Other Miscellaneous,65050,665
Initial Supplement,Traffic Collision,Traffic Collision,IS,Traffic Collision,68050,664
Initial Supplement,"Burglary, Other Bldg., Forcible Entry",Burglary - Other,IS,Burglary,05071,662
Initial,Traffic Collision,Traffic Collision,II,Traffic Collision,68050,661
Coplogic Initial,"Theft, Shoplifting, Att.",Larceny Theft - Shoplifting,II,Larceny Theft,06360,659
Initial,"Warrant Arrest, Enroute To Adult Authority",Warrant,II,Warrant,62060,652
Initial Supplement,Probation Violation,Other,IS,Other Miscellaneous,26170,638
Initial,Arson of Vehicle,Arson,II,Arson,26031,637
Initial,"Burglary, Apartment House, Att. Forcible Entry",Burglary - Residential,II,Burglary,05012,634
Initial,"Theft, Lost Property, Grand",Larceny Theft - Other,II,Larceny Theft,26145,628
Initial,"Vehicle, Impounded",Vehicle Impounded,II,Vehicle Impounded,07053,622
Initial,"Driving, Reckless",Other,II,Other Miscellaneous,65020,614
Initial,"Cocaine, Base/rock, Sale",Drug Violation,II,Drug Offense,16625,613
Initial,Opiates Offense,Drug Violation,II,Drug Offense,16210,604
Initial,Controlled Substance Offense,Drug Violation,II,Drug Offense,16660,603
Initial Supplement,"Theft, From Building, >$950",Larceny Theft - From Building,IS,Larceny Theft,06304,599
Initial,Theft of Computers or Cell Phones,Larceny Theft - Other,II,Larceny Theft,06126,592
Vehicle Initial,"License Plate or Tab, Theft of",Larceny Theft - Other,VI,Larceny Theft,06246,590
Initial,"Theft, From Person, <$50 (other than Pickpocket)",Larceny Theft - Other,II,Larceny Theft,06151,590
Coplogic Supplement,"Theft, From Unlocked Vehicle, >$950",Larceny - From Vehicle,IS,Larceny Theft,06224,584
Initial Supplement,"Firearm, Possession By Prohibited Person",Weapons Offense,IS,Weapons Carrying Etc,12080,580
Initial Supplement,"Narcotics Paraphernalia, Possession of",Drug Violation,IS,Drug Offense,16710,566
Initial Supplement,Evading a Police Officer Recklessly,Other,IS,Other Miscellaneous,27175,565
Initial Supplement,"Burglary, Residence, Forcible Entry",Burglary - Residential,IS,Burglary,05041,565
Initial Supplement,"Burglary, Non-residential, Forcible Entry",Burglary - Other,IS,Burglary,05151,564
Initial,"Credit Application, Fraudulent",Fraud,II,Fraud,09340,563
Initial,"Public Nuisance, Committing",Disorderly Conduct,II,Disorderly Conduct,19010,553
Initial,"Cocaine, Possession For Sale",Drug Violation,II,Drug Offense,16622,549
Initial Supplement,"Assault, Aggravated, W/ Knife",Aggravated Assault,IS,Assault,04012,545
Initial,Probation Search,Other,II,Warrant,62071,544
Initial,Shooting into Inhabited Dwelling or Occupied Vehicle,Aggravated Assault,II,Assault,04081,540
Initial Supplement,"Assault, Aggravated, W/ Gun",Aggravated Assault,IS,Assault,04011,539
Initial Supplement,"Malicious Mischief, Breaking Windows",Vandalism,IS,Malicious Mischief,28100,538
Initial Supplement,"Burglary, Store, Forcible Entry",Burglary - Commercial,IS,Burglary,05051,538
Initial,Disturbing The Peace,Disorderly Conduct,II,Disorderly Conduct,19022,538
Initial,"Malicious Mischief, Adult Suspect",Vandalism,II,Malicious Mischief,28092,532
Initial,"Phone Calls, Threatening or Annoying",Disorderly Conduct,II,Disorderly Conduct,19050,523
Initial,"Access Card Information, Theft of",Fraud,II,Fraud,09164,520
Initial,"Stay Away Order Violation, DVU related",Other,II,Offences Against The Family And Children,15151,520
Initial,Loitering for Purpose of Prostitution,Prostitution,II,Prostitution,13075,501
Initial Supplement,"Burglary, Vehicle (Arrest made)",Theft From Vehicle,IS,Larceny Theft,05014,499
Initial,"Robbery, Chain Store, W/ Force",Robbery - Commercial,II,Robbery,03044,498
Initial,"Controlled Substance, Under the Influence of",Drug Violation,II,Drug Offense,16740,494
Initial Supplement,"Burglary, Apartment House, Unlawful Entry",Burglary - Residential,IS,Burglary,05013,494
Initial,"Forgery, Checks, Felony",Forgery And Counterfeiting,II,Forgery And Counterfeiting,09015,493
Initial,"Burglary, Store, Att. Forcible Entry",Burglary - Commercial,II,Burglary,05052,488
Initial,Indecent Exposure (Adult victim),Sex Offense,II,Sex Offense,14040,485
Initial Supplement,"Burglary, Other Bldg., Unlawful Entry",Burglary - Other,IS,Burglary,05073,481
Initial,"Assault, W/ Caustic Chemical to Injure or Disfigure",Aggravated Assault,II,Assault,04033,481
Initial,"Vehicle Registration, False Evidence of",Forgery And Counterfeiting,II,Forgery And Counterfeiting,07200,478
Initial Supplement,Trespassing,Trespass,IS,Other Miscellaneous,27195,476
Initial,"Malicious Mischief, Street Cars/Buses",Vandalism,II,Malicious Mischief,28140,476
Initial Supplement,"Vehicle, Stolen & Recovered",Motor Vehicle Theft,IS,Motor Vehicle Theft,07020,472
Initial,"Civil Sidewalks, Citation",Other,II,Civil Sidewalks,64002,470
Vehicle Supplement,"Vehicle, Stolen & Recovered",Motor Vehicle Theft,VS,Motor Vehicle Theft,07020,469
Initial,"Firearm, Discharging in Grossly Negligent Manner",Aggravated Assault,II,Assault,04083,465
Initial,"Checks or Legal Instruments, Uttering Forged",Forgery And Counterfeiting,II,Forgery And Counterfeiting,09016,464
Initial,"Burglary, Non-residential, Att. Forcible",Burglary - Other,II,Burglary,05152,462
Initial Supplement,Domestic Violence (secondary only),Other,IS,Offences Against The Family And Children,15200,454
Initial Supplement,"Theft, From Locked Vehicle, $200-$950",Larceny - From Vehicle,IS,Larceny Theft,06243,453
Initial Supplement,"Burglary, Residence, Unlawful Entry",Burglary - Residential,IS,Burglary,05043,446
Initial,Threat or Force to Resist Executive Officer,Intimidation,II,Other Miscellaneous,27171,445
Initial,"Defrauding Providers of Food, Fuel, Services, or Accommodations",Fraud,II,Other Miscellaneous,27010,441
Initial,"Sex Offender, Failure To Register for Sexual Assault of Adult",Sex Offense,II,Sex Offense,14020,439
Initial,"Burglary, Residence Under Constr, Unlawful Entry",Burglary - Residential,II,Burglary,05143,433
Initial Supplement,"Theft, Shoplifting, $200-$950",Larceny Theft - Shoplifting,IS,Larceny Theft,06363,430
Initial,Theft of Checks or Credit Cards,Larceny Theft - Other,II,Larceny Theft,06125,429
Initial,"Assault, Non-Aggravated, Att.",Simple Assault,II,Assault,04114,427
Initial Supplement,"Traffic Collision, Hit & Run, Property Damage",Traffic Collision - Hit & Run,IS,Traffic Collision,68060,420
Initial,"Assault, Aggravated, W/ Gun",Aggravated Assault,II,Assault,04092,416
Initial,"Methamphetamine, Sale",Drug Violation,II,Drug Offense,16654,415
Initial,Aided Case -Property for Destruction,Non-Criminal,II,Non-Criminal,51041,415
Initial,"Weapon, Prohibited, Possession, Sale, Mfg., Import",Weapons Offense,II,Weapons Carrying Etc,12120,410
Initial,Theft from Merchant or Library,Larceny Theft - Other,II,Larceny Theft,06394,406
Initial Supplement,"Burglary Tools, Possession Of",Other,IS,Other Miscellaneous,27130,402
Coplogic Supplement,"Malicious Mischief, Vandalism to Property",Vandalism,IS,Malicious Mischief,28150,401
Initial,"Vehicle, Stolen, Auto",Motor Vehicle Theft,II,Motor Vehicle Theft,07021,400
Vehicle Supplement,"Vehicle, Misplaced",Vehicle Misplaced,VS,Vehicle Misplaced,07054,397
Initial,"Checks, False, Making, Uttering or Possessing",Forgery And Counterfeiting,II,Forgery And Counterfeiting,09020,389
Initial,"Vehicle, Recovered, Auto",Recovered Vehicle,II,Recovered Vehicle,07041,389
Initial Supplement,"Burglary, Hot Prowl, Unlawful Entry",Burglary - Hot Prowl,IS,Burglary,05083,389
Initial,"Cocaine, Base/rock Offense",Drug Violation,II,Drug Offense,16621,381
Initial Supplement,"Burglary, Hot Prowl, Forcible Entry",Burglary - Hot Prowl,IS,Burglary,05081,376
Initial Supplement,"Burglary, Apartment House, Forcible Entry",Burglary - Residential,IS,Burglary,05011,376
Initial,Gang Related (secondary only),Other,II,Disorderly Conduct,19400,376
Initial,Stalking,Stalking,II,Offences Against The Family And Children,15201,374
Initial,"Theft, Vehicle Strip, $200-$950",Larceny - Auto Parts,II,Larceny Theft,06233,373
Initial Supplement,"Robbery, W/ Gun",Robbery - Other,IS,Robbery,03071,372
Initial Supplement,"Traffic Collision, Hit & Run, Injury",Traffic Collision - Hit & Run,IS,Traffic Collision,68069,369
Initial,Extortion or Blackmail,Extortion-Blackmail,II,Other Miscellaneous,26100,369
Initial Supplement,Violation of Restraining Order,Other,IS,Offences Against The Family And Children,15161,365
Initial,"Civil Sidewalks, Warning",Other,II,Civil Sidewalks,64001,365
Initial,Solicits For Act Of Prostitution,Prostitution,II,Prostitution,13060,360
Initial,Marijuana Offense,Drug Violation,II,Drug Offense,16010,360
Initial,"Disturbing The Peace, Fighting",Disorderly Conduct,II,Disorderly Conduct,19024,359
Initial,"Ammunition, Poss. By Prohibited Person",Weapons Offense,II,Weapons Carrying Etc,12173,357
Initial,"Vehicle, Stolen & Recovered",Motor Vehicle Theft,II,Motor Vehicle Theft,07020,353
Initial Supplement,"Weapon, Deadly, Imitation or Laser Scope, Exhibiting",Weapons Offense,IS,Weapons Offense,12030,350
Initial,"Burglary, Warehouse, Forcible Entry",Burglary - Commercial,II,Burglary,05061,347
Initial,"Controlled Substance, Sale",Drug Violation,II,Drug Offense,16664,347
Initial,"Theft, Trick And Device, Felony",Fraud,II,Fraud,10115,346
Vehicle Supplement,"Vehicle, Recovered, Stolen outside SF",Motor Vehicle Theft,VS,Motor Vehicle Theft,07055,346
Initial,Heroin Offense,Drug Violation,II,Drug Offense,16100,342
Initial,"Robbery, Comml. Establ., W/ Force",Robbery - Commercial,II,Robbery,03024,340
Initial,"Money, Property or Labor, Fraudulently Obtaining",Stolen Property,II,Stolen Property,09031,340
Initial,"Robbery, Att., Street or Public Place, W/ Force",Robbery - Street,II,Robbery,03414,340
Initial,Municipal Police Code Violation (general),Other,II,Other Offenses,30190,338
Initial,"Checks, Blank or Forged, Fraudulent Possession",Forgery And Counterfeiting,II,Forgery And Counterfeiting,09150,329
Initial,"Warrant Arrest, Enroute To Probation",Warrant,II,Warrant,62040,325
Initial Supplement,Methamphetamine Offense,Drug Violation,IS,Drug Offense,16650,324
Initial,Suspicious Person,Suspicious Occ,II,Suspicious Occ,64080,320
Coplogic Initial,"Theft, Bicycle, >$950",Larceny Theft - Bicycle,II,Larceny Theft,06314,320
Initial,"Theft, Pickpocket, <$50",Larceny Theft - Pickpocket,II,Larceny Theft,06111,319
Initial,"Traffic Collision, Hit & Run, Property Damage",Traffic Collision - Hit & Run,II,Traffic Collision,68060,319
Initial,"Robbery, Street or Public Place, W/ Other Weapon",Robbery - Street,II,Robbery,03013,319
Coplogic Initial,"Theft, Bicycle, $200-$950",Larceny Theft - Bicycle,II,Larceny Theft,06313,316
Initial,Forgery & Counterfeiting (general),Forgery And Counterfeiting,II,Forgery And Counterfeiting,09262,316
Initial,"Burglary, Other Bldg. Under Constr., Forcible Entry",Burglary - Other,II,Burglary,05171,315
Initial,"Warrant Arrest, Enroute To US Marshall",Warrant,II,Warrant,62010,311
Initial,"Burglary, Hotel Room, Unlawful Entry",Burglary - Residential,II,Burglary,05033,304
Initial,Suspicious Vehicle,Suspicious Occ,II,Suspicious Occ,64065,304
Initial Supplement,"Controlled Substance, Under the Influence of",Drug Violation,IS,Drug Offense,16740,296
Initial,Cocaine Offense,Drug Violation,II,Drug Offense,16620,294
Initial,"Theft, Shoplifting, Att.",Larceny Theft - Shoplifting,II,Larceny Theft,06360,292
Initial Supplement,False Personation,Fraud,IS,Fraud,09027,292
Initial,"Marijuana, Possession For Sale",Drug Violation,II,Drug Offense,16030,289
Initial Supplement,Aided Case,Non-Criminal,IS,Non-Criminal,51040,288
Initial Supplement,"Robbery, Street or Public Place, W/ Force",Robbery - Street,IS,Robbery,03014,287
Initial,"Phone Calls, Threatening",Intimidation,II,Disorderly Conduct,19055,287
Initial Supplement,Battery with Serious Injuries,Simple Assault,IS,Assault,04136,283
Initial,"EPO or Restraining Order Violation, DVU related",Other,II,Offences Against The Family And Children,15150,280
Initial,"Burglary, Other Bldg. Under Constr., Unlawful Entry",Burglary - Other,II,Burglary,05173,277
Initial,Embezzlement from Dependent or Elder Adult by Caretaker,Larceny Theft - Other,II,Larceny Theft,06381,273
Initial,Unusual Occurrence,Suspicious Occ,II,Other Miscellaneous,64090,272
Initial Supplement,"Firearm, Possession of Loaded",Weapons Offense,IS,Weapons Carrying Etc,12100,271
Initial Supplement,Fraudulent Use Of Automated Teller Card,Fraud,IS,Fraud,09250,269
Initial,"Firearm, Armed While Possessing Controlled Substance",Drug Violation,II,Drug Violation,16780,268
Initial Supplement,"Battery, former Spouse or Dating Relationship",Simple Assault,IS,Assault,04138,266
Initial Supplement,"Driving, No License Issued",Other,IS,Other Miscellaneous,65015,266
Vehicle Supplement,"License Plate, Stolen",Theft From Vehicle,VS,Larceny Theft,71013,265
Initial Supplement,Lost Property,Lost Property,IS,Lost Property,71000,265
Initial,"Vandalism or Graffiti Tools, Possession",Vandalism,II,Malicious Mischief,28166,265
Initial,"Driving, Stunt Vehicle/Street Racing",,II,,65021,264
Initial,"Firearm, Discharging at Unoccupied Bldg, Vehicle or Aircraft",Aggravated Assault,II,Assault,04084,261
Initial Supplement,"Theft, Other Property, >$950",Larceny Theft - Other,IS,Larceny Theft,06374,255
Initial Supplement,"Shoplifting, Force against Agent",Robbery - Commercial,IS,Robbery,03401,253
Initial Supplement,"Methamphetamine, Possession For Sale",Drug Violation,IS,Drug Offense,16652,252
Initial Supplement,"Assault, Att. Homicide, W/ Gun",Aggravated Assault,IS,Assault,04021,252
Initial Supplement,"Firearm, Loaded, in Vehicle, Possession or Use",Weapons Offense,IS,Weapons Carrying Etc,12168,251
Initial,State Code Felony (general),Other,II,Other Miscellaneous,26200,249
Vehicle Initial,"Vehicle, Embezzled",Embezzlement,VI,Embezzlement,07052,248
Coplogic Supplement,"Phone Calls, Harassing",Other,IS,Malicious Mischief,28135,247
Initial,"Robbery, Street or Public Place, W/ Knife",Robbery - Street,II,Robbery,03012,246
Initial,"Opiates, Sale",Drug Violation,II,Drug Offense,16230,246
Initial Supplement,Restraining Order Notification/Service of Restraining Order,Other,IS,Offences Against The Family And Children,15155,245
Initial,"Embezzlement, Grand Theft By Employee",Embezzlement,II,Embezzlement,10045,244
Initial Supplement,"Burglary, Non-residential, Unlawful Entry",Burglary - Other,IS,Burglary,05153,243
Initial Supplement,"Theft, From Person, >$950 (other than Pickpocket)",Larceny Theft - Other,IS,Larceny Theft,06154,243
Initial,"Theft, Vehicle Strip, Attempted",Larceny - Auto Parts,II,Larceny Theft,06230,243
Initial,ATM-related Crime (secondary code only),Other,II,Offences Against The Family And Children,15400,243
Initial,"Burglary, Flat, Unlawful Entry",Burglary - Residential,II,Burglary,05023,242
Initial,"Robbery, Att., W/ Gun",Robbery - Other,II,Robbery,03471,241
Initial,Kidnapping (Adult victim),Kidnapping,II,Other Miscellaneous,26141,239
Initial Supplement,"Stay Away or Court Order, Non-DV Related",Non-Criminal,IS,Non-Criminal,71024,236
Initial,Looting during State of Emergency,Larceny Theft - Other,II,Larceny Theft,06383,236
Vehicle Supplement,"License Plate, Found",Other Offenses,VS,Other Offenses,71011,230
Initial,"Robbery, Chain Store, W/ Other Weapon",Robbery - Commercial,II,Robbery,03043,229
Initial,"Animal, Cruelty to",Other,II,Malicious Mischief,28010,229
Initial,"Arson, Inhabited Dwelling",Arson,II,Arson,26036,226
Coplogic Supplement,"Access Card, incl. Credit, Phone, ATM, Fraudulent Use of",Fraud,IS,Fraud,09320,224
Initial,"Assault, Att. Homicide, W/ Gun",Aggravated Assault,II,Assault,04021,223
Vehicle Initial,"License Plate, Lost",Other Offenses,VI,Other Offenses,71010,221
Initial,"License Plate, Found",Other Offenses,II,Other Offenses,71011,219
Initial,"Suspicious Occurrence, possible Shots Fired",Suspicious Occ,II,Suspicious Occ,64072,219
Initial,"License Plate or Tab, Theft of",Larceny Theft - Other,II,Larceny Theft,06246,212
Initial Supplement,"Firearm, Discharging Within City Limits",Weapons Offense,IS,Weapons Offense,12027,212
Initial,"Checks, Money Orders, Completed, Fraudulent Possession",Fraud,II,Fraud,09040,210
Initial,Counterfeit Money or Coins,Forgery And Counterfeiting,II,Forgery And Counterfeiting,10149,210
Initial Supplement,"Theft, From Building, $200-$950",Larceny Theft - From Building,IS,Larceny Theft,06303,210
Coplogic Supplement,"Theft, From Locked Vehicle, Att.",Larceny - From Vehicle,IS,Larceny Theft,06240,208
Initial,Evading a Police Vehicle or Bicycle,Other,II,Other Miscellaneous,27177,208
Initial Supplement,"Cocaine, Base/rock, Possession For Sale",Drug Violation,IS,Drug Offense,16623,208
