mapping_version,source_city,source_file,source_offense_code,source_offense_category,source_offense_description,source_auxiliary,source_severity,canonical_family_code,canonical_offense_family,canonical_subtype_code,canonical_offense_subtype,canonical_domain,canonical_target,is_criminal_event,is_violent,is_property,mapping_confidence,review_required,mapping_note,mapping_action,include_in_model,decision_basis,supporting_incident_rows,supporting_source_mappings,supporting_city_count
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90D,,PC 49.07(C) Intoxicated Assault W/Veh SBI,,,F19,traffic_offense,F19.01,dui,traffic,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90D,,PC 49.07(C) Intoxicated Assault W/Veh SBI 90D DRIV,,,F19,traffic_offense,F19.01,dui,traffic,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90Z,,PC 49.08 Intoxication Manslaughter,,,F01,homicide,F01.02,manslaughter,violent,person,true,true,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90D,,PC 49.08(B) Intoxicated Manslaughter W/Veh,,,F19,traffic_offense,F19.01,dui,traffic,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90D,,PC 49.08(B) Intoxicated Manslaughter W/Veh 90D DRI,,,F19,traffic_offense,F19.01,dui,traffic,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90D,,PC 49.08(B) Intoxicated Manslaughter W/Vehicle,,,F19,traffic_offense,F19.01,dui,traffic,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90D,,PC 49.09 DRIVING WHILE INTOXICATED 3RD OR MORE,,,F19,traffic_offense,F19.01,dui,traffic,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90D,,PC 49.09 DRIVING WHILE INTOXICATED 3RD OR MORE ,,,F19,traffic_offense,F19.01,dui,traffic,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90D,,PC 49.09 DRIVING WHILE INTOXICATED 3RD OR MORE  90,,,F19,traffic_offense,F19.01,dui,traffic,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90D,,PC 49.09 DRIVING WHILE INTOXICATED 3RD OR MORE IAT,,,F19,traffic_offense,F19.01,dui,traffic,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90D,,PC 49.09 Driving While Intoxicated third 90D DRIVI,,,F19,traffic_offense,F19.01,dui,traffic,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90D,,PC 49.09(A) Driving While Intoxicated second,,,F19,traffic_offense,F19.01,dui,traffic,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90D,,PC 49.09(A) Driving While Intoxicated second 90D D,,,F19,traffic_offense,F19.01,dui,traffic,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
