nibrs_code,row_count
999,306847
,259689
240,219259
23F,117170
290,89610
220,70147
23H,68773
90Z,56266
35A,48556
23G,39178
120,29609
13A,27566
13C,24123
13B,23071
23C,21594
90E,15558
90D,12417
520,11870
90J,10659
26A,10238
23D,6638
35B,5710
250,3764
90F,3649
90C,3448
270,3221
26B,2962
26F,2835
280,2376
200,1636
23A,1027
720,946
09A,830
26C,637
23B,523
39A,493
26E,481
23E,434
100,275
09C,116
26G,81
370,79
09B,71
90G,69
210,66
26D,39
39B,19
510,16
90H,9
64A,8
90B,5
64B,3
