part_category,category,stat_desc,stat,row_count
1,LARCENY THEFT,"THEFT, PETTY: Auto Parts And Accessories",385,9881
1,LARCENY THEFT,"THEFT, PETTY: From Bldgs (Church, School, Restaurant)",387,9705
2,LIQUOR LAWS,LIQUOR LAWS: All Other Liquor Law Violations,198,9469
1,ROBBERY,"ROBBERY, WEAPON: Other",037,8082
1,BURGLARY,"BURGLARY, RESIDENCE: Day, Entry No Force",065,7962
2,WEAPON LAWS,WEAPON LAWS: Misdemeanor,152,7501
2,WEAPON LAWS,"WEAPON LAWS: Shooting, Unlawful",153,7293
1,LARCENY THEFT,"THEFT, PETTY: Bicycles",386,7250
1,BURGLARY,"BURGLARY, RESIDENCE: Unknown, Entry No Force",068,7166
1,ROBBERY,"ROBBERY, STRONG-ARM: Store, Business, Hotel, Motel, Etc.",042,6999
2,SEX OFFENSES MISDEMEANORS,SEX MISDEMEANORS: All Other Sex Misdemeanors,139,6707
2,WARRANTS,"WARRANTS: Felony, Out Of County",285,6590
1,LARCENY THEFT,"GRAND THEFT: From Bldg(Churches, Schools, Restaurants, Offices, Etc)",087,6250
2,NARCOTICS,NARCOTICS: Marijuana Misdemeanors (Less Than 1 oz),189,6235
2,NARCOTICS,"Felony Transport,Sales,Possess Marijuana,Concentrtd Cannabis/Hashsh",182,6191
1,ROBBERY,"ROBBERY, WEAPON: Store, Business, Hotel, Motel, Etc.",032,6169
1,GRAND THEFT AUTO,"GRAND THEFT VEHICLE (GTA): Other Veh (Snowmobile, Golf Cart, Etc)",097,5717
2,FELONIES MISCELLANEOUS,"FELONIES, MISCELLANEOUS: Embezzlement, Felony",330,5689
1,BURGLARY,"BURGLARY, RESIDENCE: Night, Entry No Force",062,5426
1,BURGLARY,"BURGLARY, OTHER STRUCTURE: Unknown, Entry No Force",078,5131
1,BURGLARY,"BURGLARY, OTHER STRUCTURE: Day, Entry By Force",074,5119
2,VEHICLE / BOATING LAWS,VEHICLE AND BOATING LAWS: Felony,252,5018
2,SEX OFFENSES FELONIES,SEX FELONIES: Sex Crimes Against Children (Under 14 Years),120,4807
1,BURGLARY,"BURGLARY, OTHER STRUCTURE: Night, Entry No Force",072,4801
1,BURGLARY,"BURGLARY, OTHER STRUCTURE: Day, Entry No Force",075,4542
2,DISORDERLY CONDUCT,DISORDERLY CONDUCT: Telephone Annoyance,217,4246
2,NARCOTICS,Found Narcotics,186,4187
2,FORGERY,WORTHLESS DOCUMENTS/FORGERY: Forgery - Other,107,4101
