incident_description,row_count
Gun Violence Restraining Order Violation,3
Escape or Assisting Escape,3
"Prisoner, Rescuing From Lawful Custody",3
"Burglary, Safe, Apartment",3
Violation of Civil Gang Injunction,3
Impersonating Fire Department Member,3
"Theft, Phone Booth, $50-$200",3
Push-cart Peddler Permit Violation,3
Money Laundering,3
Human Trafficking (B)-Involuntary Servitude (not sex-related),3
Massage Establishment Permit Violation,3
"Theft, Phone Booth, >$950",3
Terrorizing by Interfering with Religious Worship,3
"Alcohol, Furnish or Sell to Intox. Person",3
"Hazardous Materials,  Dump any Substance into Water",3
Soliciting Commission Of A Crime,3
"Manslaughter, Accidental, W/ Other Weapon",3
Arson with Great Bodily Injury,3
"Barbiturates, Possession",3
"Assault, Commission of While Armed",3
"Assault, Aggravated, W/ Machine Gun",3
Retaking Goods from Peace Officer,3
Assault During Labor Dispute,3
"Theft, By Prostitute, <$50",3
Lynching by Riot,3
"Theft, Phone Booth, $200-$950",3
"Robbery, Att., Residence, W/ Other Weapon",3
"Contraband, Taking Into A Reformatory",3
"Gambling Paraphernalia, Possession",3
"Balloons, Electrically Conductive",3
"Hypodermic Needle or Syringe, Possession",3
"Abortion, Unlawful",3
Safekeeping Property (Pierce's Pledge),3
"Obstructing Health Facility, Place of Worship, or School",2
"Robbery, Att., Service Station, W/ Knife",2
Escape of Prisoner From Hospital,2
"Burglary, Warehouse Under Constr, Att. Forcible",2
"Dead Body, Removing Items from",2
"Theft, Motorcycle Strip, Att.",2
Barbiturates Offense,2
"Robbery, Vehicle for Hire, Att., W/ Force",2
"Citizenship Document, Using False",2
Pyrotechnic Explosive Device - Barrel Bomb,2
Bribery Of Witnesses,2
Money Offense Related to Narcotics Trafficking,2
"Embezzlement, Petty Theft By Brokers/Agents",2
"Prescription, Forge Or Alter (4390 B&P)",2
"Controlled Substance, Presence Where Used",2
"Homicide, Drive-by",2
"Homicide, Excusable, W/ Sharp Object",2
"Robbery, Att., Service Station W/ Other Weapon",2
"Bribery or Gratuity,  Public Employees",2
"Disaster Area, Entering or Remaining in",2
"Weapon, Deadly, Possession of to Violate 136.1 PC",2
"Embezzlement, Grand Theft By Collector",2
Incest,2
"Robbery, Att., Residence, W/ Knife",2
"Records or Returns, False Entries",2
Assault or Attempted Murder Upon Gov't Officers,2
"Indecent Exposure, Prostitution Related",2
"Embezzlement, Grand Theft By Property Carrier",2
"Rape, Forcible, W/ Other Weapon",2
"Embezzlement, Petty Theft Private Property",2
"Alcoholic Beverage, Procuring Sale of",2
"Sex Offender, Suspicious Occurrence",2
"Theft, By Prostitute, $50-$200",2
"Armor Penetrating Ammunition, Possession",2
"Animal, Poisoning of",2
Terrorizing by Marking Private Property,2
"Disturbance of Non-religious, Non-political Assembly",2
Crimes Involving Receipts or Titles,2
"Rape, Assault To, W/ Sharp Object",2
Escape From Hospital With Force,2
"Rape, Att., W/ Gun",2
"Jail Property, Destroying (SFPD only)",2
"School Grounds, Entry by Sex Offender",2
"Robbery, Service Station, W/ Knife",2
"Lasers, Discharging or Lights at Aircraft",2
"Trade Secrets, Theft or Unauthorized Copying",2
Homicide By Sniping,1
Gaming & Horse Racing (general),1
Soliciting Customer to Purchase Alcoholic Beverage,1
"VIN, Possess to Defraud",1
Suicide By Fire,1
"Highway, Injuring",1
"Rape, Forcible, W/ Gun",1
Obscene Or Lewd Plays/Performances,1
"Loud Speakers, Unauthorized Use of",1
"Lodging, Registering w/False Name",1
Begging or Panhandling,1
"Theft, Motorcycle Strip, <$50",1
"Barbiturates, Possession For Sale",1
"Rape, Att., W/ Sharp Object",1
Purchase Female For The Purpose Of Prostitution,1
Scalping Tickets,1
"Barbiturates, Transportation",1
"Rape, Assault To, W/ Gun",1
"Assault, Att. Mayhem, W/ Gun",1
Sale of Satellite Telephone Numbers,1
"Theft, Grand, Agricultural",1
"Highway, Breaking Down or Removing Barrier, Sign, or Light",1
"Vending or Slot Machine, Unauthorized Use or Using Slugs",1
"Hazardous Materials, Spill Load",1
"Permit Violation, Dance Hall",1
"Advertisements, Affixing To Poles",1
"Guide Dog, Interfering with",1
Threat to State Official or Judge,1
"Insured Property, Destruction to Defraud Insurer",1
"Dog, Fighting;  Owning, Fighting, or Attending Fight",1
Merchandise Title Document Fraud,1
"Bombing, Police Vehicle",1
"Fighting Dog or Animal, Biting or Causing  Injury or Death",1
"Theft, Catalytic Converter",1
"Rape, Forcible, W/ Sharp Object",1
Hotel Violations,1
"Robbery, Vehicle for Hire, Att., W/ Other Weapon",1
Accidental Burns,1
"Robbery, Att., Service Station W/ Force",1
"Parking Meter, Unlawful Operation or Use of Slugs",1
"Bigamy, Incest, and the Crime Against Nature (general)",1
"Methadone, Sale",1
"Robbery, Vehicle for Hire, Att., W/ Gun",1
"Alcohol, Sale Of After Hours",1
False Report of Police Misconduct,1
"Assault, By Police Officers",1
"Articles With ID Removed, Possession of",1
"Burglary, Safe, Other, with Explosives",1
"Burglary, Safe, Warehouse, with Explosives",1
"Sexual Assault, Involving Sex Offender",1
"Embezzlement, Grand Theft Public/Private Official",1
"Suicide By Drowning, Att.",1
"Amphetamine, Sale",1
"Permit Violation, Advertising Distributors",1
"Stolen Metals, Receiving",1
Sale or Manufacture of Deceptive ID,1
"Theft, Phone Booth, <$50",1
"Suicide By Fire, Att.",1
"Assault, W/ Poison",1
Manufacture or Sale of Counterfeit Goods,1
"Embezzlement, Petty Theft By Property Carrier",1
"Amphetamine, Transportation",1
