incident_description,row_count
"Warrant Arrest, Enroute To Dept. Of Corrections",699
"Theft, Lost Property, Grand",692
"Burglary, Apartment House, Att. Forcible Entry",680
Controlled Substance Offense,677
"Cocaine, Base/rock, Sale",668
"Access Card Information, Theft of",647
Opiates Offense,645
Probation Search,641
"Credit Application, Fraudulent",632
Theft of Computers or Cell Phones,622
"Theft, From Person, <$50 (other than Pickpocket)",618
"Checks or Legal Instruments, Uttering Forged",606
"Forgery, Checks, Felony",601
"Stay Away Order Violation, DVU related",601
"Cocaine, Possession For Sale",594
"Malicious Mischief, Adult Suspect",589
"Robbery, Chain Store, W/ Force",588
"Firearm, Discharging in Grossly Negligent Manner",576
"Public Nuisance, Committing",574
Disturbing The Peace,567
Carjacking with a Gun,564
"Phone Calls, Threatening or Annoying",564
"Burglary, Store, Att. Forcible Entry",551
"Traffic Collision, Hit & Run, Injury",546
"Vehicle Registration, False Evidence of",534
Threat or Force to Resist Executive Officer,533
"Assault, W/ Caustic Chemical to Injure or Disfigure",527
Indecent Exposure (Adult victim),517
Loitering for Purpose of Prostitution,510
"Burglary, Non-residential, Att. Forcible",507
"Malicious Mischief, Street Cars/Buses",505
Theft of Checks or Credit Cards,487
"Weapon, Prohibited, Possession, Sale, Mfg., Import",477
"Assault, Att. Homicide, W/ Gun",476
"Ammunition, Poss. By Prohibited Person",475
"Sex Offender, Failure To Register for Sexual Assault of Adult",475
"Civil Sidewalks, Citation",473
Gang Related (secondary only),471
"Burglary, Residence Under Constr, Unlawful Entry",467
Forgery & Counterfeiting (general),461
"Checks, False, Making, Uttering or Possessing",459
"Defrauding Providers of Food, Fuel, Services, or Accommodations",455
"Assault, Non-Aggravated, Att.",451
Stalking,447
"Vehicle, Misplaced",446
"Methamphetamine, Sale",446
"Warrant Arrest, Enroute To US Marshall",442
Carjacking with Bodily Force,434
Theft from Merchant or Library,430
"Cocaine, Base/rock Offense",430
Aided Case -Property for Destruction,429
"Theft, Trick And Device, Felony",415
Marijuana Offense,412
"Robbery, Att., Street or Public Place, W/ Force",410
"Robbery, Comml. Establ., W/ Force",407
"Money, Property or Labor, Fraudulently Obtaining",402
"Checks, Blank or Forged, Fraudulent Possession",401
Extortion or Blackmail,401
"Burglary, Warehouse, Forcible Entry",399
"Theft, Vehicle Strip, $200-$950",394
Driving While Under The Influence Of Drugs,393
Heroin Offense,379
"Civil Sidewalks, Warning",376
"Disturbing The Peace, Fighting",376
"Controlled Substance, Sale",371
Solicits For Act Of Prostitution,371
Municipal Police Code Violation (general),359
"Robbery, Street or Public Place, W/ Other Weapon",354
"Burglary, Other Bldg. Under Constr., Forcible Entry",350
Suspicious Vehicle,350
"Vehicle, Embezzled",349
"Warrant Arrest, Enroute To Probation",348
Suspicious Person,344
"Firearm, Armed While Possessing Controlled Substance",341
Cocaine Offense,340
"Driving, Stunt Vehicle/Street Racing",339
"Marijuana, Possession For Sale",339
"EPO or Restraining Order Violation, DVU related",336
"Theft, Pickpocket, <$50",328
"Burglary, Hotel Room, Unlawful Entry",323
Counterfeit Money or Coins,322
Looting during State of Emergency,321
"Firearm, Discharging at Unoccupied Bldg, Vehicle or Aircraft",321
Embezzlement from Dependent or Elder Adult by Caretaker,317
"Assault, Aggravated, On Police Off., W/ Other Weapon",314
"Phone Calls, Threatening",309
"Burglary, Other Bldg. Under Constr., Unlawful Entry",301
Kidnapping (Adult victim),300
State Code Felony (general),300
Unusual Occurrence,299
"Robbery, Att., W/ Gun",294
"Embezzlement, Grand Theft By Employee",293
"Driving While Under The Influence Of Alcohol, w/Injury",290
"Assault, Att. Homicide, W/ Knife",287
"Robbery, Street or Public Place, W/ Knife",280
"Arson, Inhabited Dwelling",279
ATM-related Crime (secondary code only),278
"Vandalism or Graffiti Tools, Possession",276
"Burglary, Flat, Unlawful Entry",276
