crime_id,source_city,occurrence_timestamp,latitude,longitude,source_offense_code,source_offense_category,source_offense_description,lat_below_by,lat_above_by,lon_below_by,lon_above_by,max_bound_excess_degrees
marin_county_sheriff_ca:SO240150046,marin_county_sheriff_ca,2024-03-18T15:58:00.000000,39.017901,-123.688696,,ALL OTHER - NON-CRIMINAL,LOST,0.0,0.5879010000000022,0.5486959999999925,0.0,0.5879010000000022
marin_county_sheriff_ca:SO250000545,marin_county_sheriff_ca,2025-02-25T12:46:00.000000,38.970073,-123.687095,,DRUGS / NARCOTICS VIOLATION,HS,0.0,0.5400729999999996,0.5470949999999988,0.0,0.5470949999999988
marin_county_sheriff_ca:SO180000536,marin_county_sheriff_ca,2018-02-15T14:11:00.000000,38.00322,-121.73785,,ALL OTHER - CRIMINAL,MISC PC,0.0,0.0,0.0,0.5021500000000003,0.5021500000000003
marin_county_sheriff_ca:SO150001428,marin_county_sheriff_ca,2015-03-18T18:30:00.000000,37.262983,-121.949492,,MOTOR VEHICLE THEFT,VEH RECV,0.43701700000000443,0.0,0.0,0.29050799999998844,0.43701700000000443
marin_county_sheriff_ca:SO180002310,marin_county_sheriff_ca,2018-07-25T11:08:00.000000,37.339505,-121.888347,,ALL OTHER - NON-CRIMINAL,FOUND,0.36049500000000023,0.0,0.0,0.3516529999999989,0.36049500000000023
marin_county_sheriff_ca:SO180002454,marin_county_sheriff_ca,2018-08-08T09:34:00.000000,37.339505,-121.888347,,ALL OTHER - NON-CRIMINAL,CIV,0.36049500000000023,0.0,0.0,0.3516529999999989,0.36049500000000023
marin_county_sheriff_ca:SO180002494,marin_county_sheriff_ca,2018-08-11T13:18:00.000000,37.339505,-121.888347,,ALL OTHER - NON-CRIMINAL,AMED,0.36049500000000023,0.0,0.0,0.3516529999999989,0.36049500000000023
marin_county_sheriff_ca:SO180000436,marin_county_sheriff_ca,2018-02-07T15:15:00.000000,38.035467,-121.883475,,ALL OTHER - NON-CRIMINAL,MCSO,0.0,0.0,0.0,0.35652499999999065,0.35652499999999065
marin_county_sheriff_ca:SO140004685,marin_county_sheriff_ca,2014-08-15T05:17:00.000000,38.765503,-123.000884,,ALL OTHER - NON-CRIMINAL,AOTH,0.0,0.33550300000000277,0.0,0.0,0.33550300000000277
marin_county_sheriff_ca:SO160000653,marin_county_sheriff_ca,2016-01-31T07:50:00.000000,38.33507,-121.954423,,ALL OTHER - NON-CRIMINAL,ALAW,0.0,0.0,0.0,0.2855769999999893,0.2855769999999893
marin_county_sheriff_ca:SO170002665,marin_county_sheriff_ca,2017-08-24T14:30:00.000000,38.362413,-121.977681,,ALL OTHER - CRIMINAL,WARR ARR,0.0,0.0,0.0,0.26231899999999087,0.26231899999999087
marin_county_sheriff_ca:SO150001114,marin_county_sheriff_ca,2015-03-01T05:06:00.000000,38.240266,-121.989653,,ALL OTHER - NON-CRIMINAL,AOTH,0.0,0.0,0.0,0.25034699999999077,0.25034699999999077
marin_county_sheriff_ca:SO160004047,marin_county_sheriff_ca,2016-09-21T08:00:00.000000,37.890796,-122.089772,,ALL OTHER - CRIMINAL,WARR ARR,0.0,0.0,0.0,0.15022799999999847,0.15022799999999847
