ofns_desc,law_cat_cd,loc_of_occur_desc,juris_desc,prem_typ_desc,pd_desc,jurisdiction_code,row_count
MISCELLANEOUS PENAL LAW,FELONY,FRONT OF,N.Y. POLICE DEPT,CANDY STORE,CRIMINAL CONTEMPT 1,0,7
UNAUTHORIZED USE OF A VEHICLE,MISDEMEANOR,(null),N.Y. STATE POLICE,HIGHWAY/PARKWAY,UNAUTHORIZED USE VEHICLE 3,11,7
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,DRUG STORE,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",0,7
CRIMINAL TRESPASS,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,TELECOMM. STORE,"TRESPASS 2, CRIMINAL",0,7
GRAND LARCENY,FELONY,FRONT OF,PORT AUTHORITY,BUS TERMINAL,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",3,7
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,OPEN AREAS (OPEN LOTS),"MISCHIEF, CRIMINAL 4, BY FIRE",0,7
VEHICLE AND TRAFFIC LAWS,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,LEAVING SCENE-ACCIDENT-PERSONA,0,7
GRAND LARCENY,FELONY,(null),N.Y. POLICE DEPT,COMMERCIAL BUILDING,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",0,7
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,CHURCH,"CONTEMPT,CRIMINAL",0,7
FRAUDS,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,STREET,"IMPERSONATION 2, PUBLIC SERVAN",0,7
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,DOCTOR/DENTIST OFFICE,"LARCENY,PETIT OF BICYCLE",0,7
DANGEROUS WEAPONS,FELONY,FRONT OF,N.Y. POLICE DEPT,LIQUOR STORE,WEAPONS POSSESSION 3,0,7
CRIMINAL MISCHIEF & RELATED OF,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,BUS (NYC TRANSIT),"MISCHIEF,CRIMINAL,    UNCL 2ND",0,7
PETIT LARCENY,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,PUBLIC BUILDING,"LARCENY,PETIT FROM OPEN AREAS,",0,7
POSSESSION OF STOLEN PROPERTY,FELONY,INSIDE,N.Y. POLICE DEPT,FAST FOOD,"STOLEN PROPERTY 2,1,POSSESSION",0,7
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,(null),N.Y. POLICE DEPT,DRUG STORE,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",0,7
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,MARINA/PIER,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",0,7
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,MARINA/PIER,ASSAULT 3,0,7
FORGERY,FELONY,FRONT OF,N.Y. HOUSING POLICE,STREET,"FORGERY,ETC.,UNCLASSIFIED-FELO",2,7
ROBBERY,FELONY,INSIDE,DEPT OF CORRECTIONS,OTHER,"ROBBERY,PUBLIC PLACE INSIDE",72,7
DANGEROUS DRUGS,FELONY,FRONT OF,N.Y. POLICE DEPT,GROCERY/BODEGA,"CONTROLLED SUBSTANCE, INTENT T",0,7
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,BUS (NYC TRANSIT),"LARCENY,PETIT OF LICENSE PLATE",0,7
