ofns_desc,law_cat_cd,loc_of_occur_desc,juris_desc,prem_typ_desc,pd_desc,jurisdiction_code,row_count
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"HARASSMENT,SUBD 3,4,5",0,192410
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,CHAIN STORE,"LARCENY,PETIT FROM STORE-SHOPL",0,154445
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,ASSAULT 3,0,129946
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,DEPARTMENT STORE,"LARCENY,PETIT FROM STORE-SHOPL",0,92875
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,AGGRAVATED HARASSMENT 2,0,88940
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,DRUG STORE,"LARCENY,PETIT FROM STORE-SHOPL",0,72169
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"HARASSMENT,SUBD 1,CIVILIAN",0,69887
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,ASSAULT 3,0,69119
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,ASSAULT 3,0,64883
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"HARASSMENT,SUBD 3,4,5",0,62096
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,"MISCHIEF, CRIMINAL 4, OF MOTOR",0,61016
HARRASSMENT 2,VIOLATION,FRONT OF,N.Y. POLICE DEPT,STREET,"HARASSMENT,SUBD 3,4,5",0,57674
VEHICLE AND TRAFFIC LAWS,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,LEAVING SCENE-ACCIDENT-PERSONA,0,55406
FELONY ASSAULT,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"ASSAULT 2,1,UNCLASSIFIED",0,55371
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,"LARCENY,PETIT FROM AUTO",0,55338
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"HARASSMENT,SUBD 3,4,5",2,53641
GRAND LARCENY OF MOTOR VEHICLE,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"LARCENY,GRAND OF AUTO",0,44161
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,PETIT FROM BUILDING,UN",0,42278
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",0,41093
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",0,40925
HARRASSMENT 2,VIOLATION,(null),N.Y. POLICE DEPT,STREET,"HARASSMENT,SUBD 3,4,5",0,39331
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,ASSAULT 3,0,39003
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,"MISCHIEF, CRIMINAL 4, OF MOTOR",0,38815
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,CRIMINAL CONTEMPT 1,0,38700
VEHICLE AND TRAFFIC LAWS,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,"TRAFFIC,UNCLASSIFIED MISDEMEAN",0,38497
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,AGGRAVATED HARASSMENT 2,0,38184
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,ASSAULT 3,2,34861
INTOXICATED & IMPAIRED DRIVING,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,"INTOXICATED DRIVING,ALCOHOL",0,33907
FELONY ASSAULT,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"ASSAULT 2,1,UNCLASSIFIED",0,33475
HARRASSMENT 2,VIOLATION,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"HARASSMENT,SUBD 3,4,5",0,32143
HARRASSMENT 2,VIOLATION,FRONT OF,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"HARASSMENT,SUBD 3,4,5",0,31841
PETIT LARCENY,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,"LARCENY,PETIT FROM AUTO",0,31168
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,CLOTHING/BOUTIQUE,"LARCENY,PETIT FROM STORE-SHOPL",0,28274
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",0,28089
CRIMINAL MISCHIEF & RELATED OF,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"MISCHIEF, CRIMINAL 3 & 2, OF M",0,27087
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"MENACING,UNCLASSIFIED",0,26561
FELONY ASSAULT,FELONY,(null),N.Y. POLICE DEPT,STREET,"ASSAULT 2,1,UNCLASSIFIED",0,26254
BURGLARY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"BURGLARY,RESIDENCE,DAY",0,25620
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"HARASSMENT,SUBD 1,CIVILIAN",0,24964
DANGEROUS DRUGS,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,"CONTROLLED SUBSTANCE, POSSESSI",0,24492
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,"LARCENY,PETIT OF LICENSE PLATE",0,24047
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,AGGRAVATED HARASSMENT 2,2,23724
OTHER OFFENSES RELATED TO THEFT,MISDEMEANOR,(null),N.Y. TRANSIT POLICE,TRANSIT - NYC SUBWAY,"THEFT OF SERVICES, UNCLASSIFIE",1,23208
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,"LARCENY,PETIT OF VEHICLE ACCES",0,22894
THEFT-FRAUD,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"FRAUD,UNCLASSIFIED-FELONY",0,22063
HARRASSMENT 2,VIOLATION,FRONT OF,N.Y. POLICE DEPT,STREET,"HARASSMENT,SUBD 1,CIVILIAN",0,21721
BURGLARY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"BURGLARY,RESIDENCE,NIGHT",0,21285
FELONY ASSAULT,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,STRANGULATION 1ST,0,20593
HARRASSMENT 2,VIOLATION,(null),N.Y. POLICE DEPT,STREET,"HARASSMENT,SUBD 1,CIVILIAN",0,19489
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,COMMERCIAL BUILDING,"LARCENY,PETIT FROM STORE-SHOPL",0,18572
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"HARASSMENT,SUBD 1,CIVILIAN",2,17919
GRAND LARCENY OF MOTOR VEHICLE,FELONY,(null),N.Y. POLICE DEPT,STREET,"LARCENY,GRAND OF AUTO",0,17768
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",0,16997
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,GROCERY/BODEGA,"LARCENY,PETIT FROM STORE-SHOPL",0,16931
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,CRIMINAL CONTEMPT 1,0,16624
FELONY ASSAULT,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"ASSAULT 2,1,UNCLASSIFIED",0,16583
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,OBSTR BREATH/CIRCUL,0,16484
CRIMINAL MISCHIEF & RELATED OF,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"MISCHIEF,CRIMINAL,    UNCL 2ND",0,15717
FORGERY,FELONY,(null),N.Y. POLICE DEPT,STREET,"FORGERY,ETC.,UNCLASSIFIED-FELO",0,15693
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,"LARCENY,PETIT OF BICYCLE",0,15232
DANGEROUS DRUGS,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,"CONTROLLED SUBSTANCE, POSSESSI",0,15075
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,"LARCENY,PETIT FROM OPEN AREAS,",0,14986
FELONY ASSAULT,FELONY,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"ASSAULT 2,1,UNCLASSIFIED",2,14875
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,STREET,"MISCHIEF, CRIMINAL 4, OF MOTOR",0,14794
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",2,14748
ROBBERY,FELONY,(null),N.Y. POLICE DEPT,STREET,"ROBBERY,PERSONAL ELECTRONIC DEVICE",0,14724
ROBBERY,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"ROBBERY,OPEN AREA UNCLASSIFIED",0,14638
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,CRIMINAL CONTEMPT 1,2,14462
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,"MENACING,UNCLASSIFIED",0,14447
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,FOOD SUPERMARKET,"LARCENY,PETIT FROM STORE-SHOPL",0,14379
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,"CRIMINAL MISCHIEF 4TH, GRAFFIT",0,14345
CRIMINAL MISCHIEF & RELATED OF,FELONY,(null),N.Y. POLICE DEPT,STREET,"MISCHIEF, CRIMINAL 3 & 2, OF M",0,14297
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,(null),N.Y. TRANSIT POLICE,TRANSIT - NYC SUBWAY,ASSAULT 3,1,13868
ROBBERY,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"ROBBERY,PERSONAL ELECTRONIC DEVICE",0,13852
ROBBERY,FELONY,(null),N.Y. POLICE DEPT,STREET,"ROBBERY,OPEN AREA UNCLASSIFIED",0,13850
VEHICLE AND TRAFFIC LAWS,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,LEAVING SCENE-ACCIDENT-PERSONA,0,13787
DANGEROUS DRUGS,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,"MARIJUANA, POSSESSION 4 & 5",0,13470
DANGEROUS WEAPONS,FELONY,(null),N.Y. POLICE DEPT,STREET,WEAPONS POSSESSION 3,0,13154
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,CHAIN STORE,"LARCENY,GRAND FROM STORE-SHOPL",0,13095
HARRASSMENT 2,VIOLATION,FRONT OF,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"HARASSMENT,SUBD 3,4,5",2,12983
PETIT LARCENY,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,STREET,"LARCENY,PETIT FROM AUTO",0,12893
DANGEROUS WEAPONS,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,"WEAPONS, POSSESSION, ETC",0,12841
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",0,12467
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,"MENACING,UNCLASSIFIED",0,12314
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",0,12223
PETIT LARCENY,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,"LARCENY,PETIT OF LICENSE PLATE",0,12131
OFFENSES INVOLVING FRAUD,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,"FORGERY,ETC.-MISD.",0,12102
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,ASSAULT 3,0,11993
GRAND LARCENY,FELONY,(null),N.Y. POLICE DEPT,STREET,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",0,11861
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,COMMERCIAL BUILDING,"HARASSMENT,SUBD 3,4,5",0,11743
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,VIOLATION OF ORDER OF PROTECTI,0,11680
PETIT LARCENY,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,"LARCENY,PETIT OF VEHICLE ACCES",0,11666
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",0,11611
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES",0,11576
SEX CRIMES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"CHILD, ENDANGERING WELFARE",0,11254
BURGLARY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"BURGLARY,RESIDENCE,DAY",0,11069
THEFT-FRAUD,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"FRAUD,UNCLASSIFIED-FELONY",0,10576
FORGERY,FELONY,(null),N.Y. POLICE DEPT,STREET,"FORGERY,M.V. REGISTRATION",0,10490
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"LARCENY,GRAND OF BICYCLE",0,10161
PETIT LARCENY,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,"LARCENY,PETIT FROM OPEN AREAS,",0,9933
FRAUDS,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"FRAUD,UNCLASSIFIED-MISDEMEANOR",0,9911
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",0,9785
CRIMINAL TRESPASS,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"TRESPASS 2, CRIMINAL",0,9781
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,DEPARTMENT STORE,"LARCENY,GRAND FROM STORE-SHOPL",0,9762
MISCELLANEOUS PENAL LAW,FELONY,(null),N.Y. POLICE DEPT,STREET,RECKLESS ENDANGERMENT 1,0,9743
DANGEROUS DRUGS,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,"MARIJUANA, POSSESSION 4 & 5",0,9730
GRAND LARCENY OF MOTOR VEHICLE,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"LARCENY,GRAND OF MOTORCYCLE",0,9718
INTOXICATED & IMPAIRED DRIVING,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,"INTOXICATED DRIVING,ALCOHOL",0,9697
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",0,9434
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,FRONT OF,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,ASSAULT 3,2,9328
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,COMMERCIAL BUILDING,"LARCENY,PETIT FROM BUILDING,UN",0,9196
BURGLARY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"BURGLARY,RESIDENCE,NIGHT",0,9155
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,OTHER,"HARASSMENT,SUBD 3,4,5",0,9153
SEX CRIMES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"SEXUAL ABUSE 3,2",0,8994
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"LARCENY,PETIT FROM BUILDING,UN",2,8925
FORGERY,FELONY,(null),N.Y. TRANSIT POLICE,TRANSIT - NYC SUBWAY,"FORGERY,ETC.,UNCLASSIFIED-FELO",1,8769
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,GROCERY/BODEGA,"HARASSMENT,SUBD 3,4,5",0,8410
VEHICLE AND TRAFFIC LAWS,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,"TRAFFIC,UNCLASSIFIED MISDEMEAN",0,8408
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",0,8382
GRAND LARCENY OF MOTOR VEHICLE,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,STREET,"LARCENY,GRAND OF AUTO",0,8216
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"LARCENY,PETIT FROM OPEN AREAS,",0,8168
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"MENACING,UNCLASSIFIED",0,7942
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,HOMELESS SHELTER,"HARASSMENT,SUBD 3,4,5",0,7872
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,PUBLIC SCHOOL,"HARASSMENT,SUBD 3,4,5",0,7861
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,CLOTHING/BOUTIQUE,"LARCENY,GRAND FROM STORE-SHOPL",0,7768
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"LARCENY,PETIT FROM BUILDING,UN",0,7765
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,"CRIMINAL MISCHIEF 4TH, GRAFFIT",0,7732
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE-HOUSE,ASSAULT 3,0,7662
DANGEROUS DRUGS,FELONY,(null),N.Y. POLICE DEPT,STREET,"CONTROLLED SUBSTANCE,INTENT TO",0,7571
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"CONTEMPT,CRIMINAL",0,7475
CRIMINAL TRESPASS,MISDEMEANOR,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"TRESPASS 2, CRIMINAL",2,7449
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"MENACING,UNCLASSIFIED",2,7307
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,BAR/NIGHT CLUB,ASSAULT 3,0,7145
CRIMINAL MISCHIEF & RELATED OF,FELONY,(null),N.Y. TRANSIT POLICE,TRANSIT - NYC SUBWAY,"TAMPERING 1,CRIMINAL",1,7130
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,COMMERCIAL BUILDING,AGGRAVATED HARASSMENT 2,0,7048
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",0,7030
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",0,7008
HARRASSMENT 2,VIOLATION,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"HARASSMENT,SUBD 1,CIVILIAN",0,6973
ROBBERY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"ROBBERY,DWELLING",0,6944
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESTAURANT/DINER,"LARCENY,PETIT FROM BUILDING,UN",0,6942
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,CHAIN STORE,"HARASSMENT,SUBD 3,4,5",0,6939
DANGEROUS DRUGS,MISDEMEANOR,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"MARIJUANA, POSSESSION 4 & 5",2,6867
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,PETIT FROM OPEN AREAS,",0,6824
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,GROCERY/BODEGA,ASSAULT 3,0,6812
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,BAR/NIGHT CLUB,"LARCENY,GRAND FROM NIGHT CLUB, UNATTENDED",0,6756
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESTAURANT/DINER,"LARCENY,GRAND FROM EATERY, UNATTENDED",0,6682
HARRASSMENT 2,VIOLATION,(null),N.Y. TRANSIT POLICE,TRANSIT - NYC SUBWAY,"HARASSMENT,SUBD 1,CIVILIAN",1,6574
DANGEROUS DRUGS,MISDEMEANOR,(null),N.Y. TRANSIT POLICE,TRANSIT - NYC SUBWAY,"CONTROLLED SUBSTANCE, POSSESSI",1,6570
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,(null),N.Y. POLICE DEPT,OTHER,"CRIMINAL MISCHIEF 4TH, GRAFFIT",0,6534
BURGLARY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"BURGLARY,RESIDENCE,UNKNOWN TIM",0,6528
FELONY ASSAULT,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,STRANGULATION 1ST,0,6498
MISCELLANEOUS PENAL LAW,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,CRIMINAL CONTEMPT 1,0,6467
MISCELLANEOUS PENAL LAW,FELONY,FRONT OF,N.Y. POLICE DEPT,RESIDENCE-HOUSE,CRIMINAL CONTEMPT 1,0,6418
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,HOMELESS SHELTER,ASSAULT 3,0,6415
ADMINISTRATIVE CODE,VIOLATION,(null),N.Y. TRANSIT POLICE,TRANSIT - NYC SUBWAY,N.Y.C. TRANSIT AUTH. R&R,1,6360
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,COMMERCIAL BUILDING,"CRIMINAL MISCHIEF 4TH, GRAFFIT",0,6231
DANGEROUS WEAPONS,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,WEAPONS POSSESSION 3,0,6088
PETIT LARCENY,MISDEMEANOR,(null),N.Y. TRANSIT POLICE,TRANSIT - NYC SUBWAY,"LARCENY,PETIT FROM OPEN AREAS,",1,6013
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION",0,6006
GRAND LARCENY,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,STREET,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",0,5998
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,AGGRAVATED HARASSMENT 2,0,5994
BURGLARY,FELONY,INSIDE,N.Y. POLICE DEPT,COMMERCIAL BUILDING,"BURGLARY,COMMERCIAL,NIGHT",0,5989
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,CHAIN STORE,"LARCENY,PETIT FROM BUILDING,UN",0,5971
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,GRAND BY THEFT OF CREDIT CARD",0,5969
DANGEROUS WEAPONS,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,"WEAPONS, POSSESSION, ETC",0,5953
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",0,5929
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,GRAND BY EXTORTION",0,5927
MISCELLANEOUS PENAL LAW,FELONY,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,CRIMINAL CONTEMPT 1,0,5899
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,AGGRAVATED HARASSMENT 2,0,5812
HARRASSMENT 2,VIOLATION,(null),N.Y. TRANSIT POLICE,TRANSIT - NYC SUBWAY,"HARASSMENT,SUBD 3,4,5",1,5810
FORGERY,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"FORGERY,ETC.,UNCLASSIFIED-FELO",0,5753
MISCELLANEOUS PENAL LAW,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,RECKLESS ENDANGERMENT 1,0,5691
UNAUTHORIZED USE OF A VEHICLE,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,UNAUTHORIZED USE VEHICLE 3,0,5648
