report_summary_offense_description,report_primary_offense_description,report_summary_offense_code,report_primary_offense_code,event_type,row_count
,Disorderly Conduct - Weapons,WEAPONLA,5311-2,General Offense,160
,Extortion,EXTORTIO,2199-0,General Offense,154
,Fire Investigation,FIRE    ,0010-0,General Offense,153
,False Reporting,OTHER   ,4803-0,General Offense,149
,Curfew,CURFEW  ,7399-2,General Offense,140
,Icac Investigation,OTHER   ,0008-0,General Offense,138
,Graffiti - Insubstantial Damage,GRAFFITI,2999-3,General Offense,132
,All Other Court Order Violatio,OTHER   ,5007-3,General Offense,126
,Sexual Exploitation,SEXOFFEN,3699-2,General Offense,125
,Failure to Obey Police,OTHER   ,4813-0,General Offense,122
,All Other Court Order Violatio - Dv,OTHER   ,5007-7,General Offense,119
,Counterfeiting,COUNTERF,2599-0,General Offense,119
,Theft By Embezzlement,EMBEZZLE,2799-0,General Offense,118
,Injunc Agnst Harassment Violat,OTHER   ,5007-1,General Offense,116
,Endangerment,OTHER   ,1399-0,General Offense,114
,Vehicle Burglary-Parts/Access,VEHBURG ,2304-1,General Offense,110
,Weapons Violation,WEAPONLA,5299-0,General Offense,109
,Conservation - Environment,OTHER   ,6205-0,General Offense,108
,Stolen Veh-Trailer Theft,MOTORVEH,2399-3,General Offense,107
,Stolen Prop-Possession,STOLENPR,2804-0,General Offense,96
,Sexual Conduct With Minor,SEXOFFEN,1116-0,General Offense,90
,Vehicle Impound,TRAFFIC ,5499-7,General Offense,90
,Burglary From Locker,LARCENYT,2399-2,General Offense,87
,Nonviolent Family Offenses,FAMILYOF,3899-0,General Offense,86
,Stolen Veh - Possession/Use,MOTORVEH,2804-1,General Offense,83
,Prostitution,PROSTIT ,4004-0,General Offense,73
,Theft From Yard,LARCENYT,2309-0,General Offense,70
,Forgery of Checks,COUNTERF,2501-0,General Offense,66
,Contrib Delinquency of Minor,FAMILYOF,3805-0,General Offense,64
,Reckless Burning,RECKBURN,2007-0,General Offense,59
,Fatal Injury Collision,FATALCOL,5499-5,General Offense,58
,Commercial Sexual Exploitation,PROSTIT ,4099-0,General Offense,57
,Nonviolent Family Offenses -Dv,FAMILYDV,3899-1,General Offense,55
,Child/Adult Abuse-Sr Inj,FAMILYOF,1302-2,General Offense,55
,Sexual Assault - Oral/Sodomy,EXPIRED ,1199-0,General Offense,54
,Intimidation/Stalking - Dv,OTHER   ,1316-4,General Offense,51
,Resisting Arrest,OTHER   ,4801-0,General Offense,50
,Sexual Assault - Rape - Dv,SEXOFFEF,1103-1,General Offense,50
,Family Court Order Violation - Dv,OTHER   ,5007-6,General Offense,50
,Vdo - Tipsoft,NONCRIM ,0005-8,General Offense,49
,Purchasing Prostitution,JOHN    ,4005-0,General Offense,49
,Fraud-Bad Checks,BADCHECK,2606-0,General Offense,48
,Child/Adult Abuse-Sr Inj-Dv,CADVABUS,1302-3,General Offense,46
,Vulnerable Adult Abuse,FAMILYOF,3811-0,General Offense,45
,Stolen Veh-Unauth Use Joyride,JOYRIDE ,2411-0,General Offense,43
,Cybertip - Ncmec,OTHER   ,0008-2,General Offense,43
,Voyeurism/Peeping Tom,PEEPINGT,3611-0,General Offense,41
,Computer Tampering,FRAUDOFF,2609-0,General Offense,40
,Death Investigation-Undetermnd,OTHER   ,0001-4,General Offense,40
,Arson,ARSON   ,2099-0,General Offense,38
,Custodial Interference - Dv,FAMILYDV,1010-1,General Offense,38
,Contempt of Court,OTHER   ,5005-0,General Offense,37
,Burglary From Trailer,VEHBURG ,2399-1,General Offense,37
,Terrorism Threat,OTHER   ,1602-0,General Offense,36
,Impersonation,FRAUDOFF,2604-0,General Offense,34
,Injunc Agnst Harassment Violat - Dv,OTHER   ,5007-5,General Offense,33
,Sexual Assault - Force Fondle - Dv,SEXOFFEF,1199-4,General Offense,32
,Custodial Interference,FAMILYOF,1010-0,General Offense,30
,Obscene Material - Dv,PORNOGRA,3700-1,General Offense,30
,Robbery - Shoplift,SHOPLIFT,1203-0,General Offense,28
,Concealed Carry Violation,WEAPONLA,5202-0,General Offense,27
,Sex Offender Registration,REGVIOL ,3699-1,General Offense,26
,Sexual Assault With Object,EXPIRED ,1199-2,General Offense,26
,Endangerment - Dv,OTHER   ,1399-1,General Offense,22
,Bomb Threat,BOMBTHRT,1316-3,General Offense,22
,Aggravated Dv,FAMILYDV,3899-3,General Offense,19
,Az Child Abuse Hotline,FAMILYOF,0008-3,General Offense,19
,Failure to Appear,OTHER   ,5015-0,General Offense,17
,Smuggle Contraband to Prison,OTHER   ,5802-0,General Offense,16
,Stolen Veh-Misrepresentation,FAILPAY ,2699-1,General Offense,16
,Prostitution - Keep House of,PANDERER,4001-0,General Offense,15
,Stolen Veh-Theft and Sale of,MOTORVEH,2401-0,General Offense,15
,Disorderly Conduct-Weapons-Dv,FAMILYDV,5311-3,General Offense,14
,2Nd Degree Murder,HOMICIDE,0999-2,General Offense,14
,Obstruction of Justice,OTHER   ,5006-0,General Offense,12
,Theft-Pick Pocketing,LARCENYT,2301-0,General Offense,12
