crimename3,row_count
,1010502
LARCENY - FROM AUTO,41158
LARCENY - SHOPLIFTING,34805
POLICE INFORMATION,32896
ASSAULT - 2ND DEGREE,31602
LARCENY (DESCRIBE OFFENSE),20597
DAMAGE PROPERTY - PRIVATE,19728
MENTAL ILLNESS - EMERGENCY PETITION,19595
DRIVING UNDER THE INFLUENCE LIQUOR,19329
LOST PROPERTY,17794
AUTO THEFT - VEHICLE THEFT,17140
LARCENY - FROM BLDG,16939
DRUGS - MARIJUANA - POSSESS,16917
LARCENY - AUTO PARTS,14323
IDENTITY THEFT,13483
SUDDEN DEATH,9959
FRAUD - ILLEGAL USE CREDIT CARDS,8240
MISSING PERSON,7442
DAMAGE PROPERTY (DESCRIBE OFFENSE),7388
TRESPASSING,6284
PUBLIC PEACE - DISORDERLY CONDUCT,6199
JUVENILE - RUNAWAY,6096
LIQUOR - POSSESS,5518
ASSAULT - SIMPLE,5304
BURGLARY - FORCED ENTRY-RESIDENTIAL,5218
FRAUD - CONFIDENCE GAME,4835
RECOVERED PROPERTY - MONT CO.,4255
FRAUD (DESCRIBE OFFENSE),3947
DAMAGE PROPERTY - BUSINESS,3736
MENTAL ILLNESS,3644
BURGLARY - FORCED ENTRY-NONRESIDENTIAL,3594
BURGLARY - NO FORCED ENTRY-RESIDENTIAL,3484
RECOVERED PROPERTY - OTHER,3317
DRUGS - NARCOTIC EQUIP - POSSESS,3241
DRUGS - COCAINE - POSSESS,2785
FORGERY OF CHECKS,2670
RAPE - STRONG-ARM,2550
ALL OTHER OFFENSES,2527
OBSTRUCT GOVT - VIOLATION OF A COURT ORDER,2270
PUBLIC PEACE - HARASSING COMMUNICATION,2247
ASSAULT - AGGRAVATED - NON-FAMILY-OTHER WEAPON,1907
WEAPON - POSSESSION,1863
LIQUOR (DESCRIBE OFFENSE),1848
FRAUD - IMPERSONATION,1845
UNAUTHORIZED USE OF VEHICLE (INCLUDES JOY RIDING),1621
FRAUD - SWINDLE,1556
DRUGS - OPIUM OR DERIVATIVE - POSSESS,1391
LARCENY - POSTAL,1390
OVERDOSE,1369
ASSAULT - AGGRAVATED - OTHER,1297
SEX ASSAULT - FONDLING,1261
OBSTRUCT POLICE - RESISTING OFFICER,1229
WEAPON - CONCEALED,1200
SUICIDE - ATTEMPT,1185
ROBBERY - STREET-STRONG-ARM,1130
ASSAULT - AGGRAVATED - FAMILY-OTHER WEAPON,1129
LARCENY - POCKET PICKING,1116
MENTAL TRANSPORT - ONLY,1081
ASSAULT - AGGRAVATED - FAMILY-STRONG-ARM,1057
DAMAGE PROPERTY - PUBLIC,1045
DRUGS - MARIJUANA - SELL,1029
ASSAULT - AGGRAVATED - GUN,1025
BURGLARY - NO FORCED ENTRY-NONRESIDENTIAL,1025
BURGLARY (DESCRIBE OFFENSE),1001
DRIVING UNDER THE INFLUENCE DRUGS,980
OBSCENE MATERIAL,974
FUGITIVE FROM MD JURISDICTION,925
DRUGS - COCAINE - SELL,853
FUGITIVE FROM JUSTICE (OUT OF STATE),809
ROBBERY - STRONG ARM,806
LARCENY - FROM YARDS,796
SEX OFFENSE - FONDLING,775
SEX OFFENSE - INDECENT EXPOSURE,757
LARCENY - PURSE SNATCHING - NO FORCE,672
LIQUOR - SELL,650
FAMILY OFFENSE - NEGLECT CHILD (INCLUDES NONSUPPOR,650
SEX OFFENSE - AGAINST CHILD-FONDLING,649
STOLEN VEHICLE (DESCRIBE OFFENSE),646
EMBEZZLE (DESCRIBE OFFENSE),632
WEAPON - FIRING,622
SUICIDE - COMPLETED,617
DRUGS - HALLUCINOGEN - POSSESS,614
DRUGS - AMPHETAMINE - POSSESS,612
DRUGS - MARIJUANA (DESCRIBE OFFENSE),611
DRUGS - HEROIN - POSSESS,603
SEX ASSAULT - WITH AN OBJECT,598
ROBBERY - GUN,580
OBSTRUCT POLICE (DESCRIBE OFFENSE),549
FORGERY (DESCRIBE OFFENSE),534
LARCENY - FROM MALLS,530
FIRE (NOT ARSON),530
ASSAULT - INTIMIDATION (INCLUDES STALKING),528
ROBBERY - STREET-GUN,523
ROBBERY - KNIFE,495
TRAFFIC OFFENSES (DESCRIBE OFFENSE),483
SEX OFFENSE - INDECENT EXPOSURE TO ADULT,480
FRAUD BY WIRE,471
ASSAULT - AGGRAVATED - NON-FAMILY-STRONG-ARM,457
DRUGS - SYNTHETIC NARCOTIC - POSSESS,445
OBSTRUCT POLICE - OBSTRUCT CRIMINAL INVEST,442
ASSAULT - AGGRAVATED - NON-FAMILY-GUN,433
FRAUD - INSUFFICIENT FUNDS CHECK,419
LITTERING/TRASH DUMPING,408
SEX ASSAULT - SODOMY-GIRL-STRONG-ARM,377
COUNTERFEITING - PASS COUNTERFEITED,365
FRAUD - FAILURE TO PAY,357
SEX ASSAULT - CARNAL ABUSE,353
ROBBERY - BUSINESS-GUN,346
ROBBERY - CARJACKING - ARMED,342
FAMILY OFFENSE - CRUELTY TOWARD CHILD,340
EXTORTION (DESCRIBE OFFENSE),325
WEAPON OFFENSE (DESCRIBE OFFENSE),320
FORGERY OF OTHER,316
JUVENILE - OTHER,287
COMM SEX OFF - PROSTITUTION,277
ARSON - BURNING OF - (IDENTIFY OBJECT),265
PUBLIC PEACE (DESCRIBE OFFENSE),262
DRUGS - OPIUM OR DERIVATIVE - SELL,251
EXTORT - THREAT INJURE REPUTATION,246
DRUGS - COCAINE (DESCRIBE OFFENSE),242
SEX OFFENSE - FAILURE TO REGISTER AS A SEX OFFENDE,237
SEX ASSAULT - SODOMY-WOMAN-STRONG-ARM,235
DRUGS - DANGEROUS (DESCRIBE OFFENSE),232
FORGERY - PASS FORGED,229
THREAT - TERRORISTIC - STATE OFFENSES,217
ROBBERY - STREET-OTHER WEAPON,204
ROBBERY (DESCRIBE OFFENSE),201
OBSCENE COMMUNICATION,197
DRUGS - BARBITURATE - POSSESS,193
COUNTERFEITING,183
ROBBERY - RESIDENTIAL-GUN,180
ROBBERY - BUSINESS-STRONG-ARM,179
SEX OFFENSE - PEEPING TOM,178
ROBBERY - BUSINESS-OTHER WEAPON,167
SEX OFFENSE - INDECENT EXPOSURE TO MINOR,163
ROBBERY - RESIDENTIAL-STRONG-ARM,162
OBSCENE MATERIAL - DISTRIBUTE,160
DRUGS - OPIUM OR DERIVATIVE (DESCRIBE OFFENSE),158
STATUTORY RAPE - NO FORCE,158
FRAUD AND ABUSE - COMPUTER,156
OBSTRUCT POLICE - MAKING FALSE REPORT,154
ANIMAL CRUELTY,153
EXTORT - THREAT INJURE PERSON,151
DRUNKENNESS,149
ROBBERY - DOMESTIC,149
ASSAULT - AGGRAVATED - FAMILY-GUN,146
FAMILY OFFENSE (DESCRIBE OFFENSE),143
FRAUD - HACKING/COMPUTER INVASION,136
LARCENY - FROM BANKING-TYPE INST,136
AUTO THEFT - POSSESS STOLEN VEHICLE,132
SEX ASSAULT - SODOMY-BOY-STRONG-ARM,132
EMBEZZLE - BUSINESS PROP,132
WEAPON - THREAT TO BOMB,131
ROBBERY - CARJACKING - STRONG-ARM,129
COUNTERFEITING (DESCRIBE OFFENSE),128
SEX OFFENSE - SEX OFFENDER REGISTRATION VIOLATION,117
DRUGS - AMPHETAMINE - SELL,114
ARSON (DESCRIBE OFFENSE),114
COMM SEX OFF - PROCURE PROSTITUTE - ADULT,113
ROBBERY - OTHER WEAPON,113
FAMILY OFFENSE - NEGLECT FAMILY,110
ARSON - RESIDENTIAL,110
DRUGS - HEROIN - SELL,106
STOLEN PROPERTY - POSSESS,105
DRUGS - HEROIN - (DESCRIBE OFFENSE),103
ASSAULT - AGGRAVATED - POL OFF-OTHER WEAPON,101
OBSTRUCT GOVT - OBSTRUCTING JUSTICE,95
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,94
FRAUD - FALSE STATEMENT,92
PUBLIC ORDER CRIMES,91
LARCENY - FROM COIN MACHINE,87
LARCENY - FROM SHIPMENT,86
DRUGS - HALLUCINOGEN - SELL,84
OBSTRUCT GOVT - OBSTRUCTING COURT ORDER,84
HIT AND RUN,83
SOLICITATION - MINOR FOR SEXUAL ACTS,83
ANIMAL BITE,83
COUNTERFEITING - POSS COUNTERFEITED,82
SEX ASSAULT - SODOMY-MAN-STRONG-ARM,78
EMBEZZLE - BANKING-TYPE INST,77
FIRE CODE VIOLATION,76
HOMICIDE - WILLFUL KILL-GUN,75
ASSAULT - AGGRAVATED - PUB OFF-OTHER WEAPON,75
CARRYING PROHIBITED WEAPON (SPECIFY WEAPON),74
ROBBERY - BANKING-TYPE INST,73
FRAUD - MAIL,73
DRUGS - SYNTHETIC NARCOTIC - SELL,71
BURGLARY TOOLS - POSSESS,67
DRUGS - HALLUCINOGEN (DESCRIBE OFFENSE),67
OBSCENE MATERIAL - POSSESS,64
VIOLATION OF EMERGENCY ORDER - OTHER,63
STOLEN PROPERTY (DESCRIBE OFFENSE),61
ARSON - RESIDENTIAL-ENDANGERED LIFE,60
DRUGS - MARIJUANA - SMUGGLE,59
ROBBERY - RESIDENTIAL-OTHER WEAPON,54
FRAUD - WELFARE,51
KIDNAP ADULT,50
HOMICIDE (DESCRIBE OFFENSE),49
DRUGS - SYNTHETIC NARCOTIC - (DESCRIBE OFFENSE),46
FORGERY - POSSESS FORGED,45
LOITERING/VAGRANCY,45
RAPE WITH WEAPON,44
ROBBERY - FORCIBLE PURSE SNATCHING,43
DRUGS - HALLUCINOGEN - DISTRIB,43
HOMICIDE - WILLFUL KILL,38
AUTO THEFT - THEFT AND SALE VEHICLE,38
EXTORT - THREAT ACCUSE PERSON OF CRIME,38
ESCAPE FROM CUSTODY,37
ATTEMPTED ASSAULT AGGRAVATED POL OFF KNIFE,36
DRUGS - AMPHETAMINE (DESCRIBE OFFENSE),34
AUTO THEFT - THEFT AND USE VEHICLE OTHER CRIME,32
ASSAULT - AGGRAVATED - POL OFF-STRONG-ARM,31
ARSON - BUSINESS,31
DRUGS - MARIJUANA - PRODUCING,30
DRUGS - BARBITURATE - SELL,28
KIDNAPPING (DESCRIBE OFFENSE),27
COMM SEX OFF (DESCRIBE OFFENSE),27
