nibrs_offense_code_description,nibrs_offense_code,nibrs_crime_against_category,offense_sub_category,offense_category,nibrs_group_a_b,shooting_type_group,offense_id,source_file_uri
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,Shots Fired (Eyewitness/Casings/Property Damage),7671601978,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7643611479,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Robbery,120,PROPERTY,ROBBERY,VIOLENT CRIME,A,-,7683119707,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Destruction/Damage/Vandalism of Property,290,PROPERTY,"PROPERTY OFFENSES (INCLUDES STOLEN, DESTRUCTION)",ALL OTHER,A,-,7670505216,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Motor Vehicle Theft,240,PROPERTY,MOTOR VEHICLE THEFT,PROPERTY CRIME,A,-,7647065427,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Larceny,23H,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7669098268,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Larceny,23H,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7684504170,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7661994551,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7688408846,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7674032485,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Robbery,120,PROPERTY,ROBBERY,VIOLENT CRIME,A,-,7635663927,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Destruction/Damage/Vandalism of Property,290,PROPERTY,"PROPERTY OFFENSES (INCLUDES STOLEN, DESTRUCTION)",ALL OTHER,A,-,7673267302,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7642765432,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Intimidation,13C,PERSON,ASSAULT OFFENSES,ALL OTHER,A,-,7646255318,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Aggravated Assault,13A,PERSON,AGGRAVATED ASSAULT,VIOLENT CRIME,A,-,7688334101,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7661872674,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Trespass of Real,90J,SOCIETY,TRESPASS,ALL OTHER,B,-,7680789165,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7660249145,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7643625339,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Credit Card/Automated Teller Machine Fraud,26B,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,-,7626098576,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7668361235,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7668000473,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7663196158,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
"Family Offenses, Nonviolent",90F,SOCIETY,NON-VIOLENT FAMILY OFFENSES,ALL OTHER,B,-,7681823798,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Violation of No Contact Orders,500,PERSON,VIOLATION OF NO CONTACT ORDER,ALL OTHER,A,-,7639816426,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Motor Vehicle Theft,240,PROPERTY,MOTOR VEHICLE THEFT,PROPERTY CRIME,A,-,7626379649,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Simple Assault,13B,PERSON,ASSAULT OFFENSES,ALL OTHER,A,-,7663110443,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7665998566,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7699793172,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Burglary/Breaking & Entering,220,PROPERTY,BURGLARY,PROPERTY CRIME,A,-,7693363302,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Simple Assault,13B,PERSON,ASSAULT OFFENSES,ALL OTHER,A,-,7644448456,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Simple Assault,13B,PERSON,ASSAULT OFFENSES,ALL OTHER,A,-,7635303931,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Robbery,120,PROPERTY,ROBBERY,VIOLENT CRIME,A,-,7655602994,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Motor Vehicle Theft,240,PROPERTY,MOTOR VEHICLE THEFT,PROPERTY CRIME,A,-,7652719632,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Burglary/Breaking & Entering,220,PROPERTY,BURGLARY,PROPERTY CRIME,A,-,7700003276,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Larceny,23H,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7695449063,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Motor Vehicle Theft,240,PROPERTY,MOTOR VEHICLE THEFT,PROPERTY CRIME,A,-,7697215053,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Destruction/Damage/Vandalism of Property,290,PROPERTY,"PROPERTY OFFENSES (INCLUDES STOLEN, DESTRUCTION)",ALL OTHER,A,-,7642018828,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Simple Assault,13B,PERSON,ASSAULT OFFENSES,ALL OTHER,A,-,7655746588,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Simple Assault,13B,PERSON,ASSAULT OFFENSES,ALL OTHER,A,-,7667819849,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Burglary/Breaking & Entering,220,PROPERTY,BURGLARY,PROPERTY CRIME,A,-,7647673889,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
False Pretenses/Swindle/Confidence Game,26A,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,-,7641595890,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Simple Assault,13B,PERSON,ASSAULT OFFENSES,ALL OTHER,A,-,7652575998,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7691862211,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7639857969,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7692971062,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Burglary/Breaking & Entering,220,PROPERTY,BURGLARY,PROPERTY CRIME,A,-,7636289413,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Simple Assault,13B,PERSON,ASSAULT OFFENSES,ALL OTHER,A,-,7663694417,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7667229914,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Shoplifting,23C,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7696640538,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Larceny,23H,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7679575211,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7638902105,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7687086568,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Larceny,23H,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7645972711,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Driving Under the Influence,90D,SOCIETY,DUI,ALL OTHER,B,-,7685868785,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Pornography/Obscene Material,370,SOCIETY,PORNOGRAPHY,ALL OTHER,A,-,7681296773,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Destruction/Damage/Vandalism of Property,290,PROPERTY,"PROPERTY OFFENSES (INCLUDES STOLEN, DESTRUCTION)",ALL OTHER,A,-,7662073161,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Robbery,120,PROPERTY,ROBBERY,VIOLENT CRIME,A,-,7679459158,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7683191363,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7699411510,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Larceny,23H,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7674607528,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Impersonation,26C,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,-,7663914731,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7641596739,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Motor Vehicle Theft,240,PROPERTY,MOTOR VEHICLE THEFT,PROPERTY CRIME,A,-,7696403630,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Burglary/Breaking & Entering,220,PROPERTY,BURGLARY,PROPERTY CRIME,A,-,7697977491,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Shoplifting,23C,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7674341545,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Motor Vehicle Theft,240,PROPERTY,MOTOR VEHICLE THEFT,PROPERTY CRIME,A,-,7652576784,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7664461981,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Burglary/Breaking & Entering,220,PROPERTY,BURGLARY,PROPERTY CRIME,A,-,7668298735,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Shoplifting,23C,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7628051758,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Simple Assault,13B,PERSON,ASSAULT OFFENSES,ALL OTHER,A,-,7660623958,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Simple Assault,13B,PERSON,ASSAULT OFFENSES,ALL OTHER,A,-,7626699597,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7682089995,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Burglary/Breaking & Entering,220,PROPERTY,BURGLARY,PROPERTY CRIME,A,-,7628952355,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Larceny,23H,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7691602146,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Bad Checks,90A,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,B,-,7688649784,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Larceny,23H,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7697810691,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7633057314,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7685813599,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7675823500,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Extortion/Blackmail,210,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,-,7647648902,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft of Motor Vehicle Parts or Accessories,23G,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7639516911,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7686289995,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7636824673,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7685664346,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7695001498,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7685685623,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7695990155,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7669606178,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7683836203,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Impersonation,26C,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,-,7674990270,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Burglary/Breaking & Entering,220,PROPERTY,BURGLARY,PROPERTY CRIME,A,-,7685488699,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Trespass of Real,90J,SOCIETY,TRESPASS,ALL OTHER,B,-,7696512607,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Simple Assault,13B,PERSON,ASSAULT OFFENSES,ALL OTHER,A,-,7694925271,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Burglary/Breaking & Entering,220,PROPERTY,BURGLARY,PROPERTY CRIME,A,-,7672363422,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Aggravated Assault,13A,PERSON,AGGRAVATED ASSAULT,VIOLENT CRIME,A,-,7640930322,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7674506231,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Drug/Narcotic Violations,35A,SOCIETY,NARCOTIC VIOLATIONS (INCLUDES DRUG EQUIP.),ALL OTHER,A,-,7689790935,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
