iucr,description,fbi_code,primary_type,source_file_uri
0820,$500 AND UNDER,06,THEFT,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
5000,OTHER CRIME AGAINST PERSON,26,OTHER OFFENSE,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0910,AUTOMOBILE,07,MOTOR VEHICLE THEFT,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0910,AUTOMOBILE,07,MOTOR VEHICLE THEFT,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0870,POCKET-PICKING,06,THEFT,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0560,SIMPLE,08A,ASSAULT,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0486,DOMESTIC BATTERY SIMPLE,08B,BATTERY,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0820,$500 AND UNDER,06,THEFT,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0486,DOMESTIC BATTERY SIMPLE,08B,BATTERY,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
1245,PAY TV SERVICE OFFENSES,11,DECEPTIVE PRACTICE,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
1365,TO RESIDENCE,26,CRIMINAL TRESPASS,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0486,DOMESTIC BATTERY SIMPLE,08B,BATTERY,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0860,RETAIL THEFT,06,THEFT,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
502R,VEHICLE TITLE/REG OFFENSE,26,OTHER OFFENSE,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
1365,TO RESIDENCE,26,CRIMINAL TRESPASS,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0530,AGGRAVATED: OTHER DANG WEAPON,04A,ASSAULT,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0486,DOMESTIC BATTERY SIMPLE,08B,BATTERY,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
1811,POSS: CANNABIS 30GMS OR LESS,18,NARCOTICS,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
0650,HOME INVASION,05,BURGLARY,s3://crimenet-data/raw_files/landing/chicago/occurrence_year=2014/part-00009-tid-4879422787242204133-937fa45f-7913-4cac-b99d-17c35fb826e8-865-1.c000.snappy.parquet
