column,dtype,null_count,null_pct,n_unique,uniqueness_ratio,avg_string_length,max_string_length,taxonomy_name_score,taxonomy_name_reasons,profile_status,accepted,rejection_reason,explicit_override,selected_for_combination
iucr,String,0,0.0,389,0.00012821949595564726,4.0,4,15,iucr:15,profiled,true,,false,true
description,String,0,0.0,533,0.00017568378237624676,16.93460706822332,60,15,description:8; descr:7,profiled,true,,false,true
fbi_code,String,0,0.0,26,8.569940603719354e-6,2.2824388732505785,3,5,code:5,profiled,true,,false,true
primary_type,String,0,0.0,33,0.000010877232304720718,10.364474959292782,33,5,type:5,profiled,true,,false,true
